N,P,K,ph,crop
90,42,43,6.502985292000001,rice
85,58,41,7.038096361,rice
60,55,44,7.840207144,rice
74,35,40,6.980400905,rice
78,42,42,7.628472891,rice
69,37,42,7.073453503,rice
69,55,38,5.70080568,rice
94,53,40,5.718627177999999,rice
89,54,38,6.685346424,rice
68,58,38,6.336253525,rice
91,53,40,5.386167788,rice
90,46,42,7.50283396,rice
78,58,44,5.108681786,rice
93,56,36,6.98435366,rice
94,50,37,6.94801983,rice
60,48,39,7.042299068999999,rice
85,38,41,6.2490506560000005,rice
91,35,39,6.970859754,rice
77,38,36,5.953933276,rice
88,35,40,5.85393208,rice
89,45,36,6.442475375,rice
76,40,43,5.070175667,rice
67,59,41,6.012632591,rice
83,41,43,6.254028451,rice
98,47,37,7.375482851,rice
66,53,41,7.778915154,rice
97,59,43,6.2865001760000006,rice
97,50,41,7.070959995,rice
60,49,44,6.244841491,rice
84,51,35,6.043304899,rice
73,57,41,5.824709117,rice
92,35,40,6.3573893660000005,rice
85,37,39,6.364134967999999,rice
98,53,38,5.01450727,rice
88,54,44,6.149410611,rice
95,55,42,5.950660556,rice
99,57,35,5.960370061,rice
95,39,36,5.561398642,rice
60,43,44,7.416245107000001,rice
63,44,41,5.583370042,rice
62,42,36,6.430010215,rice
64,45,43,5.534878156,rice
83,60,36,6.903985986,rice
82,40,40,6.271478837999999,rice
85,52,45,7.224285503,rice
91,35,38,6.13428721,rice
76,49,42,5.206373153,rice
74,39,38,7.782051312999999,rice
79,43,39,7.062779015,rice
88,55,45,7.730367824,rice
60,36,43,5.286203711000001,rice
76,60,39,6.766240045,rice
93,56,42,7.382762603,rice
65,60,43,5.658169482000001,rice
95,52,36,5.543360237999999,rice
75,38,39,6.215109715,rice
74,54,38,7.120272972,rice
91,36,45,5.950647577000001,rice
71,46,40,7.236705436,rice
99,55,35,6.501697816,rice
72,40,38,7.592490617,rice
83,58,45,5.875345751,rice
93,58,38,6.932400225,rice
70,36,42,6.9462098810000015,rice
76,47,42,5.739175027000001,rice
99,41,36,6.738652179,rice
99,54,37,5.5948196260000005,rice
86,59,35,6.946636369,rice
69,46,41,5.012139669,rice
91,56,37,6.363472207999999,rice
61,52,41,6.880431223,rice
67,45,38,7.300410836,rice
79,42,37,6.587918707999999,rice
78,43,42,7.283736617000001,rice
75,54,36,7.023936392,rice
97,36,45,6.939083505,rice
67,47,44,7.868474653,rice
73,35,38,5.005306977,rice
77,36,37,6.136131869,rice
81,41,38,7.5240800760000015,rice
68,57,43,5.706943251,rice
72,45,35,5.758506323,rice
61,53,43,6.349606327,rice
67,43,39,5.9999690260000005,rice
67,58,39,5.453592032,rice
66,60,38,6.372576327000001,rice
82,43,38,5.105588355,rice
84,50,44,5.9353444060000005,rice
81,53,42,5.17782304,rice
91,50,40,6.462391607000001,rice
93,53,38,7.069172227,rice
90,44,38,7.473134377,rice
81,45,35,6.158376967000001,rice
78,40,38,7.549873681,rice
60,51,36,6.028321557999999,rice
88,46,42,6.604993475,rice
93,47,37,6.500343222000001,rice
60,55,45,5.935745417000001,rice
78,35,44,7.072655622,rice
65,37,40,5.333322606,rice
71,54,16,5.7499144210000015,maize
61,44,17,6.931756557999999,maize
80,43,16,6.657964753,maize
73,58,21,6.596060648,maize
61,38,20,5.970458434,maize
68,41,16,6.158830619,maize
93,41,17,6.047906679,maize
89,60,19,5.913664501,maize
76,44,17,5.855442401,maize
67,60,25,5.750254943,maize
70,44,19,5.852607099,maize
90,49,21,6.4725232870000005,maize
62,52,16,6.9670577620000005,maize
92,44,16,6.082973754,maize
66,54,21,5.919045532,maize
63,58,22,6.204747652999999,maize
70,47,17,6.600827017,maize
61,41,17,6.021902237000001,maize
66,53,19,6.033550195,maize
74,55,19,6.28886807,maize
77,57,21,6.550563822999999,maize
99,50,15,5.573286437,maize
74,56,22,6.829199275,maize
83,45,21,5.716222912,maize
100,48,16,5.54990242,maize
79,51,16,6.586244581,maize
94,39,18,5.893093135,maize
75,49,15,5.918263801,maize
78,48,22,5.588650585,maize
87,54,20,6.576418207000001,maize
87,35,25,6.178056304,maize
63,43,19,6.641906353,maize
84,57,25,6.489040367,maize
64,35,23,5.680361037999999,maize
60,46,22,6.625404347999999,maize
98,44,21,6.524478032,maize
75,56,18,5.696205468,maize
86,55,21,6.803931519,maize
98,35,18,6.252797547999999,maize
76,57,18,6.092725883,maize
99,56,17,6.234330356,maize
60,44,23,5.722579819,maize
74,48,17,6.430616465,maize
89,60,17,5.983952675,maize
69,51,23,6.80163854,maize
96,46,22,6.499936446,maize
61,60,15,6.265564338,maize
74,58,18,6.727303282,maize
74,43,23,6.325235159,maize
63,43,17,6.807487794,maize
99,36,20,6.671085817000001,maize
77,36,23,6.648725327,maize
87,60,23,6.439071996,maize
60,38,17,6.474476516,maize
94,54,17,5.871647806,maize
95,38,22,5.730617109,maize
84,44,21,5.850439831,maize
77,58,19,5.791649933,maize
66,44,20,6.740000687999999,maize
63,35,16,6.272417541,maize
79,45,20,5.715208817000001,maize
72,60,25,5.773454729,maize
67,51,24,5.584171461,maize
86,36,24,5.787268394,maize
76,48,18,5.77597783,maize
75,53,18,6.864793607,maize
81,45,23,6.192360002999999,maize
73,45,21,6.636803222999999,maize
71,35,24,5.826426917,maize
96,54,22,6.960358276,maize
99,39,18,6.11275104,maize
62,48,20,6.708446922,maize
86,37,16,5.561510732,maize
94,50,19,5.873242491,maize
76,39,24,6.995843776,maize
77,52,17,5.714799723,maize
74,39,23,6.78073637,maize
81,49,20,5.513697923,maize
63,42,21,5.798423907999999,maize
99,38,21,6.352471866,maize
90,52,25,6.822586546,maize
68,40,19,6.655426355,maize
60,57,24,6.1212940410000005,maize
71,52,18,5.790770202999999,maize
61,59,17,6.47444292,maize
88,38,15,6.455116637000001,maize
65,60,22,6.6069840860000015,maize
78,37,22,6.330554389,maize
78,58,15,6.5286312660000005,maize
92,60,23,5.721667141,maize
79,59,17,6.644205485,maize
91,55,15,6.376651091,maize
76,51,18,6.247040422,maize
87,48,25,6.656730007999999,maize
71,60,22,6.2048017,maize
90,57,24,6.158860284,maize
67,35,22,6.385684213999999,maize
60,54,19,6.417820493,maize
83,58,23,6.381201909,maize
83,57,19,6.877869005,maize
40,72,77,7.485996067,chickpea
23,72,84,6.920251378,chickpea
39,58,85,5.9969320370000005,chickpea
22,72,85,6.391173589,chickpea
36,67,77,7.152811172000001,chickpea
32,73,81,5.988992796000002,chickpea
58,70,84,6.231049027999999,chickpea
59,70,84,7.550808267000001,chickpea
42,62,75,7.010570541,chickpea
28,74,81,8.753795334,chickpea
58,66,79,8.718192847000001,chickpea
43,66,79,7.976607593,chickpea
58,63,81,6.515499548999999,chickpea
23,62,85,8.490127142,chickpea
27,62,77,6.576415562,chickpea
28,72,84,6.481783042999999,chickpea
50,56,76,7.966605025,chickpea
39,71,84,8.140825437,chickpea
25,78,76,7.228963452,chickpea
31,70,77,6.492546046,chickpea
26,80,83,7.528599957000001,chickpea
25,68,77,7.701446446,chickpea
31,78,76,8.519975748,chickpea
60,68,83,6.620900869,chickpea
59,62,83,8.104396057999999,chickpea
22,67,78,6.204090835,chickpea
36,65,80,6.051091339,chickpea
59,60,84,7.690962337999999,chickpea
54,77,85,7.8292111439999985,chickpea
43,68,81,6.761599706,chickpea
28,76,82,6.654425315,chickpea
42,79,85,6.129533877,chickpea
32,60,83,8.829273328,chickpea
22,78,76,8.621662982,chickpea
31,79,75,8.204862075,chickpea
28,58,81,6.18042747,chickpea
57,58,77,7.978996755,chickpea
49,55,78,7.863113671,chickpea
46,76,77,6.967843048,chickpea
54,61,77,6.206582192999999,chickpea
38,60,76,8.868741443,chickpea
59,55,79,8.766128654,chickpea
36,76,75,8.736337905,chickpea
57,68,81,8.081095263,chickpea
35,66,81,6.138243973,chickpea
35,64,78,7.496645259,chickpea
52,60,79,8.380185271,chickpea
27,76,83,6.289614016,chickpea
57,60,84,6.586777189,chickpea
52,68,78,6.89655198,chickpea
43,79,79,7.8067476560000015,chickpea
44,74,85,7.150681303,chickpea
24,55,78,6.64919573,chickpea
29,77,75,7.778591617999999,chickpea
20,60,78,6.358740355,chickpea
56,67,78,8.255450758,chickpea
37,66,85,6.456148474,chickpea
49,71,76,6.613072145,chickpea
59,69,80,8.165359297,chickpea
20,79,77,7.64867466,chickpea
24,56,85,6.545888558,chickpea
51,72,75,7.1042247970000005,chickpea
57,73,85,7.358099622,chickpea
22,64,82,6.4740245000000005,chickpea
52,73,79,7.840339388999999,chickpea
