episode_number,season,episode_title,description,ratings,votes,viewership_mil,duration,release_date,guest_stars,director,writers,has_guests,scaled_ratings
0,1,Pilot,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace.",7.5,4936,11.2,23,2005-03-24,,Ken Kwapis,Ricky Gervais |Stephen Merchant and Greg Daniels,False,0.28125
1,1,Diversity Day,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own.",8.3,4801,6.0,23,2005-03-29,,Ken Kwapis,B. J. Novak,False,0.53125
2,1,Health Care,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead.",7.8,4024,5.8,22,2005-04-05,,Ken Whittingham,Paul Lieberstein,False,0.375
3,1,The Alliance,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors.",8.1,3915,5.4,23,2005-04-12,,Bryan Gordon,Michael Schur,False,0.46875
4,1,Basketball,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.,8.4,4294,5.0,23,2005-04-19,,Greg Daniels,Greg Daniels,False,0.5625
5,1,Hot Girl,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.,7.7,3854,4.8,23,2005-04-26,Amy Adams,Amy Heckerling,Mindy Kaling,True,0.34375
6,2,The Dundies,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards.",8.7,4315,9.0,21,2005-09-20,,Greg Daniels,Mindy Kaling,False,0.6562499999999996
7,2,Sexual Harassment,The office reviews its sexual harassment policy in light of explicit e-mails.,8.2,3665,7.13,22,2005-09-27,,Ken Kwapis,B. J. Novak,False,0.4999999999999996
8,2,Office Olympics,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games.",8.4,3665,8.3,22,2005-10-04,Nancy Carell,Paul Feig,Michael Schur,True,0.5625
9,2,The Fire,A fire in the kitchen relegates the staff to the parking lot as help is on its way.,8.4,3607,7.6,22,2005-10-11,Amy Adams,Ken Kwapis,B. J. Novak,True,0.5625
10,2,Halloween,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party.",8.1,3392,8.0,30,2005-10-18,,Paul Feig,Greg Daniels,False,0.46875
11,2,The Fight,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.,8.1,3388,7.9,22,2005-11-01,,Ken Kwapis,Gene Stupnitsky | Lee Eisenberg,False,0.46875
12,2,The Client,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office.",8.6,3533,7.5,22,2005-11-08,Tim Meadows,Greg Daniels,Paul Lieberstein,True,0.625
13,2,Performance Review,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan.",8.2,3216,8.0,22,2005-11-15,,Paul Feig,Larry Wilmore,False,0.4999999999999996
14,2,E-Mail Surveillance,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him.",8.4,3338,8.1,23,2005-11-22,Ken Jeong,Paul Feig,Jennifer Celotta,True,0.5625
15,2,Christmas Party,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff.",8.9,3663,9.7,22,2005-12-06,,Charles McDougall,Michael Schur,False,0.71875
16,2,Booze Cruise,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk.",8.6,3536,8.7,22,2006-01-05,Rob Riggle,Ken Kwapis,Greg Daniels,True,0.625
17,2,The Injury,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury.",9.1,4314,10.3,22,2006-01-12,,Bryan Gordon,Mindy Kaling,False,0.7812499999999996
18,2,The Secret,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff.",8.3,3142,8.7,22,2006-01-19,,Dennie Gordon,Lee Eisenberg | Gene Stupnitsky,False,0.53125
19,2,The Carpet,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.,7.8,3118,8.6,22,2006-01-26,,Victor Nelli Jr.,Paul Lieberstein,False,0.375
20,2,Boys and Girls,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men ...
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",8.2,3091,5.42,22,2006-02-02,,See full summary,B. J. Novak,False,0.4999999999999996
21,2,Valentine's Day,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style.",8.3,3104,8.95,22,2006-02-09,Conan O'Brien,Greg Daniels,Michael Schur,True,0.53125
22,2,Dwight's Speech,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.,8.5,3283,8.4,22,2006-03-02,,Charles McDougall,Paul Lieberstein,False,0.59375
23,2,Take Your Daughter to Work Day,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old ...
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",8.3,3212,8.8,21,2006-03-16,,See full summary,Mindy Kaling,False,0.53125
24,2,Michael's Birthday,"In celebration of his birthday, Michael makes a mandatory invite of the staff during the workday to go ice skating.",8.1,3094,7.8,22,2006-03-30,,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg,False,0.46875
25,2,Drug Testing,Dwight plays the role of Volunteer Sheriff after finding half a joint in the Dunder Mifflin parking lot leading to an investigation. Pam gives Jim a play challenge which he tries to complete.,8.4,3172,7.8,22,2006-04-27,,Greg Daniels,Jennifer Celotta,False,0.5625
26,2,Conflict Resolution,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin.",8.7,3253,7.4,22,2006-05-04,,Charles McDougall,Greg Daniels,False,0.6562499999999996
27,2,Casino Night,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.,9.4,4765,7.6,29,2006-05-11,,Ken Kwapis,Steve Carell,False,0.875
28,3,Gay Witch Hunt,"Michael apologizes to Oscar, after he finds out he's gay, for calling him a homosexual slur--but his apology outs Oscar to the entire office. And Jim decides to take a promotion at the Stamford office.",9.0,4133,9.11,23,2006-09-21,,Ken Kwapis,Greg Daniels,False,0.75
29,3,The Convention,"Michael and Dwight go to a convention in Philadelphia and run into Jim, and Michael becomes jealous of Jim's relationship with his new boss. Meanwhile, Pam gets ready for her first date since her engagement.",8.2,3027,7.78,22,2006-09-28,Jerome Bettis,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg,True,0.4999999999999996
30,3,The Coup,"Michael is in trouble once again as Jan busts him for declaring it's ""Movie Monday"" where everyone watches a movie and neglects work. Angela pushes Dwight to make a move on Michael's job while Pam and Jim find creative ways to waste time.",8.5,3175,8.89,22,2006-10-05,,Greg Daniels,Paul Lieberstein,False,0.59375
31,3,Grief Counseling,Michael takes on the role of office grief counselor when he learns that his old boss has died.,8.0,3049,8.83,22,2006-10-12,,Roger Nygard,Jennifer Celotta,False,0.4375
32,3,Initiation,Dwight takes former temp Ryan to his beet farm to initiate Ryan to his new job at Dunder Mifflin.,8.1,2976,8.46,22,2006-10-19,,Randall Einhorn,B. J. Novak,False,0.46875
