response_date,user_id,nps_rating
2020-11-06,11037,7
2020-12-24,34434,9
2020-12-03,49547,8
2020-10-04,13821,7
2020-10-23,29407,9
2020-12-03,13041,10
2020-10-12,37166,9
2020-10-15,14489,8
2020-12-31,44317,7
2020-12-05,24127,6
2020-12-06,48144,10
2020-12-13,48167,6
2020-11-12,46082,10
2020-11-24,27314,7
2020-11-26,39777,9
2020-11-09,24912,7
2020-12-11,32973,7
2020-10-05,16295,7
2020-12-20,49920,7
2020-10-31,34443,7
2020-12-14,38198,0
2020-11-16,49584,10
2020-11-28,41684,7
2020-10-15,30388,9
2020-10-11,20838,7
2020-11-22,15539,10
2020-11-03,19825,8
2020-12-19,14484,10
2020-11-25,10348,7
2020-12-31,25069,7
2020-10-24,22595,10
2020-10-16,27065,7
2020-12-11,49739,7
2020-12-30,22795,5
2020-11-29,30011,9
2020-12-27,16711,10
2020-12-12,47506,10
2020-10-22,44884,7
2020-10-07,48690,7
2020-11-29,15798,9
2020-10-25,13800,9
2020-11-30,20518,10
2020-10-19,13806,7
2020-11-19,15567,4
2020-12-03,45774,9
2020-10-16,11944,8
2020-12-10,12431,10
2020-12-22,24467,9
2020-10-13,39994,8
2020-10-24,29804,6
2020-11-19,19018,7
2020-10-05,20182,7
2020-11-25,17034,10
2020-10-04,15432,5
2020-10-31,46248,10
2020-12-07,40885,3
2020-10-14,17934,7
2020-12-30,39411,9
2020-10-09,28645,7
2020-10-04,46281,5
2020-12-09,12953,6
2020-10-31,40349,10
2020-12-18,29020,7
2020-11-05,19488,10
2020-12-22,30466,7
2020-12-24,47504,9
2020-10-23,48714,9
2020-10-02,23973,9
2020-12-21,36717,9
2020-12-15,28778,7
2020-12-11,44635,9
2020-11-16,44706,7
2020-12-07,17562,9
2020-12-21,35469,7
2020-10-01,16240,5
2020-10-14,47011,7
2020-11-08,40478,6
2020-12-01,17558,10
2020-11-09,37230,7
2020-11-10,47537,6
2020-11-22,16964,7
2020-12-18,18064,10
2020-11-28,41787,10
2020-12-08,44269,7
2020-10-28,38513,10
2020-10-10,48080,7
2020-10-29,11886,9
2020-11-06,12235,9
2020-12-12,27159,9
2020-10-06,27422,10
2020-12-06,28619,10
2020-12-28,43847,8
2020-11-17,22749,6
2020-11-03,25537,9
2020-10-03,22829,8
2020-11-27,35540,1
2020-12-07,18232,10
2020-12-29,41293,10
2020-12-24,43861,7
2020-11-08,37815,7
2020-11-08,47156,10
2020-10-28,22980,7
2020-12-11,24666,5
2020-11-24,32192,7
2020-11-10,16805,10
2020-11-02,30327,7
2020-10-01,45695,9
2020-11-02,43530,8
2020-11-24,23871,7
2020-11-23,46709,7
2020-10-20,10734,7
2020-12-10,12696,5
2020-10-06,17642,7
2020-11-22,32927,9
2020-11-14,46506,5
2020-11-03,23544,9
2020-12-17,29598,5
2020-11-04,31128,7
2020-12-04,10347,6
2020-10-27,32172,9
2020-10-15,26740,10
2020-12-25,21815,5
2020-10-28,41648,7
2020-12-30,15453,5
2020-11-17,19102,7
2020-11-16,44900,6
2020-10-16,46673,7
2020-11-12,48503,5
2020-11-06,37783,7
2020-12-09,32045,10
2020-10-17,10564,10
2020-10-16,13341,7
2020-11-22,11062,9
2020-11-28,47710,7
2020-12-26,33197,6
2020-11-16,18851,7
2020-11-24,41813,10
2020-12-23,42727,9
2020-11-04,12489,7
2020-10-23,47571,7
2020-12-18,41241,7
2020-10-29,30551,10
2020-10-01,36192,7
2020-11-02,36853,9
2020-10-22,24825,0
2020-10-13,36651,7
2020-12-28,10044,6
2020-10-02,41678,7
2020-12-27,31664,9
2020-11-22,17805,3
2020-11-04,44531,0
2020-11-29,25801,9
2020-10-10,41811,7
2020-10-22,42463,7
2020-11-03,26646,6
2020-10-20,30568,10
2020-12-28,38968,10
2020-12-26,11494,5
2020-10-03,25198,9
2020-12-10,42414,9
2020-12-28,14578,9
2020-11-25,41131,3
2020-12-26,45390,7
2020-11-18,16015,7
2020-11-23,18496,8
2020-12-13,43731,7
2020-12-01,13457,4
2020-11-21,12272,6
2020-10-24,35780,6
2020-12-30,12938,4
2020-10-30,18946,7
2020-12-25,32998,7
2020-11-01,34716,6
2020-12-10,48265,6
2020-10-11,34357,5
2020-11-03,37663,10
2020-12-06,23276,10
2020-11-27,28137,7
2020-12-15,43520,9
2020-10-04,37493,7
2020-12-23,34009,4
2020-11-06,17727,3
2020-10-28,38349,9
2020-10-23,36280,9
2020-11-20,45522,10
2020-12-16,36201,7
2020-11-29,28534,10
2020-10-27,35650,6
2020-12-24,48885,10
2020-11-13,13454,7
2020-11-01,13999,9
2020-10-10,15022,7
2020-10-17,49525,7
2020-10-18,33392,10
2020-12-22,10338,7
2020-12-26,13922,7
2020-12-01,47978,10
2020-10-15,17987,7
2020-11-11,47039,7
2020-10-12,25574,10
2020-10-17,48561,7
2020-12-28,35548,0
2020-11-18,45247,8
2020-11-27,24417,10
2020-10-05,35509,9
2020-10-26,49166,7
2020-12-04,17005,1
2020-10-21,28225,5
2020-10-31,33965,7
2020-11-17,16261,7
2020-12-31,39343,7
2020-10-02,41137,9
2020-12-14,22010,7
2020-10-18,38393,10
2020-11-14,36988,10
2020-12-26,12047,10
2020-10-04,24131,9
2020-10-04,49010,6
2020-11-24,42661,7
2020-12-26,36617,4
2020-11-10,17541,10
2020-11-24,11749,10
2020-11-10,31773,7
2020-10-08,19723,7
2020-11-05,37505,1
2020-10-23,27918,4
2020-10-22,28248,7
2020-12-03,21610,1
2020-12-04,17020,7
2020-12-27,49490,10
2020-10-23,24542,7
2020-10-25,44607,6
2020-12-12,41838,5
2020-11-17,39097,6
2020-10-08,12660,4
2020-12-16,46219,9
2020-10-29,17165,6
2020-12-03,10451,7
2020-11-12,43656,7
2020-10-03,10382,7
2020-11-17,45527,6
2020-12-16,42517,7
2020-10-14,44480,1
2020-10-29,20124,10
2020-10-20,12114,7
2020-11-22,38471,5
2020-11-27,31391,6
2020-12-04,17125,10
2020-10-18,43923,9
2020-10-06,28582,9
2020-11-16,29457,5
2020-10-21,41090,1
2020-11-19,25955,9
2020-12-02,29574,9
2020-11-20,44547,7
2020-12-06,37240,5
2020-10-10,11237,8
2020-12-13,28813,10
2020-10-21,35440,9
2020-11-07,48959,7
2020-12-04,19584,4
2020-10-17,31545,7
2020-12-20,25633,5
2020-12-03,47587,2
2020-10-07,39128,5
2020-11-16,43547,10
2020-12-03,10677,7
2020-11-28,44386,7
2020-10-06,45152,10
2020-11-21,41005,10
2020-11-16,26171,10
2020-10-22,24996,7
2020-12-07,31412,7
2020-10-25,31430,10
2020-11-30,29109,7
2020-12-21,24418,9
2020-12-18,24329,9
2020-12-14,47939,10
2020-12-17,11175,7
2020-11-25,18908,7
2020-12-31,32324,7
2020-10-26,41191,7
2020-12-19,33553,8
2020-11-07,41211,9
2020-11-11,31972,7
2020-12-07,18096,7
2020-12-24,23236,9
2020-11-23,20899,7
2020-11-29,11759,10
2020-12-18,14970,9
2020-12-25,38373,10
2020-10-13,22004,7
2020-10-11,43596,7
2020-11-11,48490,10
2020-12-15,34721,10
2020-12-27,29648,7
2020-12-20,35715,7
2020-10-18,30401,7
2020-12-09,39555,4
2020-11-07,21056,7
2020-11-21,15200,6
2020-10-25,46337,6
2020-12-10,10686,7
2020-10-18,20295,5
2020-11-17,30067,6
2020-10-11,12442,10
2020-12-04,31155,10
2020-12-28,35824,9
2020-12-05,36205,4
2020-10-25,29745,10
2020-10-15,20191,10
2020-10-22,24222,7
2020-10-20,11350,9
2020-10-25,33591,9
2020-12-18,16256,10
2020-10-29,48962,10
2020-11-17,22095,7
2020-10-16,45949,6
2020-10-02,10227,9
2020-12-18,25994,7
2020-12-18,26053,10
2020-11-14,19071,7
2020-12-27,36445,9
2020-11-22,36590,7
2020-10-11,39193,4
2020-12-26,27007,6
2020-11-29,35418,7
2020-12-16,19050,9
2020-10-01,19352,7
2020-10-27,25186,9
2020-12-15,12375,9
2020-10-23,46553,7
2020-10-28,45368,8
2020-12-17,49937,7
2020-11-24,18867,0
2020-10-18,41231,9
2020-11-20,22146,7
2020-11-14,21775,4
2020-11-16,40423,7
2020-11-23,26471,9
2020-10-31,43804,7
2020-11-01,38841,7
2020-10-27,49430,3
2020-12-05,38765,9
2020-11-26,36548,9
2020-10-06,19445,7
2020-10-03,15660,2
