response_date,user_id,nps_rating
2020-12-29,14178,3
2020-10-29,33221,1
2020-11-01,21127,10
2020-12-07,42894,3
2020-11-26,30501,5
2020-12-01,10941,9
2020-12-15,30251,7
2020-10-06,36268,7
2020-11-09,17365,2
2020-12-19,39719,10
2020-10-10,40533,5
2020-12-26,44639,7
2020-12-31,45804,8
2020-11-01,43875,10
2020-10-06,23893,10
2020-12-05,28635,8
2020-11-14,12102,4
2020-10-15,16537,7
2020-10-03,34086,10
2020-12-11,46288,9
2020-10-14,49671,1
2020-11-16,45576,7
2020-10-08,42384,5
2020-11-10,22507,4
2020-12-13,21452,6
2020-11-10,12377,6
2020-10-22,34828,2
2020-10-28,41156,7
2020-10-13,20440,5
2020-12-21,40153,6
2020-10-16,29486,7
2020-12-05,27664,7
2020-11-04,10019,4
2020-12-19,41597,7
2020-10-12,12572,5
2020-12-30,30852,7
2020-10-12,40664,8
2020-10-28,24521,1
2020-12-17,29079,7
2020-12-07,27278,1
2020-11-23,23656,7
2020-10-01,33471,7
2020-12-29,49198,5
2020-12-29,16953,5
2020-10-15,10058,1
2020-11-04,49180,8
2020-10-10,20771,1
2020-11-06,23807,7
2020-12-14,38591,7
2020-11-07,12176,8
2020-10-07,45467,3
2020-10-30,29924,10
2020-12-08,13396,9
2020-11-18,19078,8
2020-12-24,45181,8
2020-10-04,21803,8
2020-10-29,46649,6
2020-12-03,33559,9
2020-12-03,22532,7
2020-10-30,28798,10
2020-10-01,40211,6
2020-12-02,44951,3
2020-12-01,32357,7
2020-11-07,39191,6
2020-10-21,26811,3
2020-10-28,32471,1
2020-12-08,15593,4
2020-10-08,31865,4
2020-11-02,40832,8
2020-10-28,23316,9
2020-12-03,16159,8
2020-10-27,47446,10
2020-12-28,14135,1
2020-12-27,43148,9
2020-11-23,46606,7
2020-12-08,38285,10
2020-12-09,48866,7
2020-12-23,22084,5
2020-11-05,47110,6
2020-10-10,30266,5
2020-12-15,32495,9
2020-11-08,12517,6
2020-10-27,26003,7
2020-11-06,13370,1
2020-10-31,18595,3
2020-11-19,40182,9
2020-11-22,12560,10
2020-11-04,45021,6
2020-10-21,33946,10
2020-11-02,12565,7
2020-11-30,31662,7
2020-11-06,24790,3
2020-12-01,46495,10
2020-11-05,11581,1
2020-11-01,14275,6
2020-12-08,49885,6
2020-12-11,18073,7
2020-12-09,32877,8
2020-11-08,26848,4
2020-11-08,32496,9
2020-12-26,20295,7
2020-11-09,44375,4
2020-11-30,47554,7
2020-11-14,32852,7
2020-10-29,25535,4
2020-12-11,31622,10
2020-10-22,24569,5
2020-10-18,31255,10
2020-10-23,17673,7
2020-11-01,14008,9
2020-12-13,15877,8
2020-11-04,46692,6
2020-11-30,16426,4
2020-12-30,32392,6
2020-11-29,14870,4
2020-10-19,36083,7
2020-10-31,49405,4
2020-10-27,30747,5
2020-11-02,17474,9
2020-11-07,40359,10
2020-12-06,40246,6
2020-12-04,39445,8
2020-11-07,11034,7
2020-10-14,33997,2
2020-11-13,38920,5
2020-10-16,24233,5
2020-10-01,46694,7
2020-10-04,17766,10
2020-12-19,19489,7
2020-12-14,23176,8
2020-11-06,22160,6
2020-11-28,18336,10
2020-11-04,32267,6
2020-12-01,18630,10
2020-11-19,41984,7
2020-12-14,23248,6
2020-10-23,38575,9
2020-10-12,26269,7
2020-12-15,36662,3
2020-11-19,19083,5
2020-11-21,41401,7
2020-10-24,33062,7
2020-11-08,25817,8
2020-10-23,21416,5
2020-12-31,28192,7
2020-10-09,41277,8
2020-10-27,27551,8
2020-12-29,23955,7
2020-12-09,24562,7
2020-10-06,19320,7
2020-11-25,40223,5
2020-12-02,18644,7
2020-10-23,44109,5
2020-10-26,30156,7
2020-11-04,31270,7
2020-12-14,17102,10
2020-12-26,29881,7
2020-11-22,19905,10
2020-11-21,32846,10
2020-11-22,30588,7
2020-10-20,39211,3
2020-11-10,42139,9
2020-10-05,13303,7
2020-11-26,31372,5
2020-10-27,43034,6
2020-11-24,24628,10
2020-12-15,42495,3
2020-10-26,26841,10
2020-11-04,38099,10
2020-12-31,16379,9
2020-10-10,33492,10
2020-12-23,41476,2
2020-11-06,11013,9
2020-11-29,33040,7
2020-10-22,37077,7
2020-12-25,49027,10
2020-12-20,39924,7
2020-12-04,37932,10
2020-10-26,23413,9
2020-10-31,27417,4
2020-11-06,41279,9
2020-11-22,16702,10
2020-10-09,34579,1
2020-10-07,16605,5
2020-10-05,31993,8
2020-12-13,36473,6
2020-10-27,22304,8
2020-12-20,35499,5
2020-10-21,45349,8
2020-11-20,34872,6
2020-10-19,42506,6
2020-12-12,43815,7
2020-12-04,30522,10
2020-10-25,48989,5
2020-12-17,29571,8
2020-12-19,30817,5
2020-10-31,25497,8
2020-11-01,15704,5
2020-11-19,13774,7
2020-11-04,10184,3
2020-10-30,45931,7
2020-10-12,25349,6
2020-11-18,35893,7
2020-10-23,31761,3
2020-10-16,16249,3
2020-11-04,26006,8
2020-11-18,12573,9
2020-10-01,32074,6
2020-10-11,30917,9
2020-10-07,34681,4
2020-10-10,18590,8
2020-11-06,18188,5
2020-10-04,27778,2
2020-11-25,24864,2
2020-12-26,22059,9
2020-12-31,26590,5
2020-12-24,26813,7
2020-11-15,43061,5
2020-11-27,26626,4
2020-11-07,24103,5
2020-10-16,18088,6
2020-11-04,49239,9
2020-11-11,33186,8
2020-11-17,26105,3
2020-10-09,43176,10
2020-10-06,18625,9
2020-11-23,31697,5
2020-10-02,25739,8
2020-10-29,15898,10
2020-12-02,45170,1
2020-10-08,12012,2
2020-11-21,24565,6
2020-11-17,24685,5
2020-12-29,39541,8
2020-10-02,22263,3
2020-10-04,41997,3
2020-12-29,28940,7
2020-11-28,21101,4
2020-10-06,49634,3
2020-10-18,47728,5
2020-10-09,46878,7
2020-12-25,14901,8
2020-12-17,20211,7
2020-11-18,17458,10
2020-10-04,49989,9
2020-10-06,44825,9
2020-11-13,13040,9
2020-11-04,46561,4
2020-11-12,30658,8
2020-10-17,13715,8
2020-12-17,42544,1
2020-10-13,46715,1
2020-10-28,47814,8
2020-11-29,41416,8
2020-11-03,42271,9
2020-11-07,15974,6
2020-11-30,25540,7
2020-10-24,16362,6
2020-10-31,21511,7
2020-12-31,24848,5
2020-12-07,31322,9
2020-11-03,32096,1
2020-11-14,35024,8
2020-12-18,30223,5
2020-10-03,24811,8
2020-12-16,30667,6
2020-12-13,46679,5
2020-12-07,42104,8
2020-12-19,40555,2
2020-10-05,33450,7
2020-10-30,38979,5
2020-12-20,33295,9
2020-11-13,20399,8
2020-10-16,11903,9
2020-11-24,16899,8
2020-10-21,49702,8
2020-11-05,15229,9
2020-11-01,39160,9
2020-12-17,45250,7
2020-12-14,39556,10
2020-10-24,33578,10
2020-12-10,13451,9
2020-12-27,36728,5
2020-10-18,18807,6
2020-10-02,46201,7
2020-11-15,20279,7
2020-12-07,47869,9
2020-12-31,12099,9
2020-11-19,41481,7
2020-10-09,39788,7
2020-12-03,45698,10
2020-11-10,25538,5
2020-12-08,10465,9
2020-12-08,21831,4
2020-12-27,15274,3
2020-10-08,45654,1
2020-11-21,25030,9
2020-10-13,43264,7
2020-10-29,20793,9
2020-12-27,10972,5
2020-10-11,48549,7
2020-10-08,12049,10
2020-11-30,20274,3
2020-12-11,24608,8
2020-12-02,22571,8
2020-10-22,10667,7
2020-11-27,28836,8
2020-11-26,44480,7
2020-11-24,27632,2
2020-11-11,37379,9
2020-10-17,17128,7
2020-10-09,23705,7
2020-12-31,25752,7
2020-12-02,12075,3
2020-10-12,24756,1
2020-12-01,10683,10
2020-10-25,22932,5
2020-10-03,28452,7
2020-12-09,48785,8
2020-12-07,49760,4
2020-10-14,21723,7
2020-11-20,40536,8
2020-12-19,43595,7
2020-11-23,22329,7
2020-10-29,42320,8
2020-10-14,21075,9
2020-11-18,45914,8
2020-10-17,43421,10
2020-12-16,16351,9
2020-12-31,35727,8
2020-11-03,34922,3
2020-11-14,28046,6
2020-11-02,21106,6
2020-11-20,45713,4
2020-12-07,15259,7
2020-12-24,21090,7
2020-10-02,20174,4
2020-10-31,22058,7
2020-10-15,42648,7
2020-12-05,22196,5
2020-12-14,20287,7
2020-11-01,13200,1
2020-11-09,39651,7
2020-11-16,17416,9
2020-10-29,49593,7
2020-11-06,23617,10
2020-10-06,24038,7
2020-11-28,10111,7
2020-12-08,14743,7
2020-12-20,21925,7
2020-11-21,43332,8
2020-12-07,47355,5
2020-11-13,23078,10
2020-11-29,46893,7
2020-12-07,11812,8
2020-10-28,36556,8
2020-12-12,39598,10
2020-11-21,19302,1
2020-12-31,21372,4
2020-10-03,10010,6
2020-11-08,15319,7
2020-10-03,35397,8
2020-11-30,44184,7
2020-11-26,28849,7
2020-11-21,39094,9
2020-12-08,18295,9
2020-12-16,11030,10
2020-11-01,10473,6
2020-12-26,19084,1
2020-11-03,38200,8
2020-11-29,17106,8
2020-11-08,10245,5
2020-10-16,30150,9
2020-11-21,28132,5
2020-10-05,32659,5
2020-12-05,15591,7
2020-11-24,37199,10
2020-11-19,37742,8
2020-12-08,43782,1
2020-10-10,36205,10
2020-12-03,45695,6
2020-10-22,11800,9
2020-12-22,11899,8
2020-12-31,12415,5
2020-12-11,29667,7
2020-10-14,44428,8
2020-10-04,27297,7
2020-11-08,24784,4
2020-12-31,48658,7
2020-10-22,14770,6
2020-10-18,46577,8
2020-10-02,39630,7
2020-11-04,17333,9
2020-10-06,15713,6
2020-10-14,48076,7
2020-10-11,23424,7
2020-10-23,45254,7
2020-12-17,38880,10
2020-12-10,19690,7
2020-12-05,35676,8
2020-12-29,25053,7
2020-10-25,33358,9
2020-11-20,22764,8
2020-10-23,44163,7
2020-12-28,20616,9
2020-12-26,33555,10
2020-10-01,27928,8
2020-12-02,19011,7
2020-11-13,10205,2
2020-12-06,20372,9
2020-10-13,26245,6
2020-10-26,11069,6
2020-12-30,13581,7
2020-11-02,10744,8
2020-10-02,26196,5
2020-12-25,42293,10
2020-11-30,30686,7
2020-11-23,38833,7
2020-11-08,18365,7
2020-11-16,37893,7
2020-11-07,21774,10
2020-12-25,31242,7
2020-12-25,25940,7
2020-12-30,41269,1
2020-10-03,36006,9
2020-11-20,46167,10
2020-10-25,11208,2
