response_date,user_id,nps_rating
2020-10-23,44903,9
2020-10-15,43303,10
2020-11-22,18075,10
2020-10-10,26419,9
2020-11-03,36838,1
2020-10-26,26791,9
2020-11-07,40965,7
2020-10-12,38637,7
2020-10-01,40253,7
2020-10-18,38595,6
2020-11-13,20789,9
2020-11-05,47574,6
2020-12-21,22354,10
2020-11-09,37394,10
2020-12-14,10512,7
2020-10-19,36350,7
2020-10-11,18303,7
2020-10-16,35882,9
2020-11-29,25736,8
2020-10-26,42443,10
2020-11-24,49756,10
2020-10-20,39571,9
2020-10-19,16082,9
2020-10-11,24835,7
2020-11-09,11189,10
2020-10-19,21036,5
2020-10-16,11031,7
2020-10-30,33251,9
2020-10-16,33877,6
2020-11-19,41199,10
2020-12-18,16771,7
2020-12-09,27302,6
2020-10-18,36714,10
2020-12-09,36375,7
2020-12-26,40457,7
2020-12-31,18140,7
2020-10-26,28009,7
2020-12-02,20626,2
2020-10-06,24824,6
2020-12-12,19041,2
2020-10-15,16803,10
2020-12-18,10470,3
2020-11-21,28142,4
2020-11-26,25145,9
2020-11-08,45248,7
2020-12-17,18738,7
2020-10-16,24475,10
2020-10-05,26993,7
2020-12-23,28411,10
2020-10-27,43126,7
2020-12-31,35058,7
2020-10-30,22589,7
2020-12-05,49393,4
2020-10-05,25597,7
2020-12-09,26179,7
2020-11-07,18359,10
2020-10-23,31852,9
2020-10-27,23316,6
2020-11-28,26983,2
2020-11-17,23462,7
2020-10-22,33512,7
2020-12-04,48622,9
2020-10-17,37156,9
2020-10-25,16244,7
2020-11-02,31802,6
2020-10-26,21272,9
2020-12-20,40229,9
2020-11-14,40057,9
2020-11-15,43597,7
2020-10-24,35065,10
2020-12-17,38495,7
2020-10-04,44163,7
2020-10-09,19945,9
2020-10-02,49220,9
2020-10-30,21486,7
2020-10-20,39880,7
2020-12-11,17458,7
2020-11-26,39607,9
2020-10-13,21465,7
2020-10-31,20344,6
2020-10-18,22052,7
2020-12-22,49531,10
2020-12-05,17770,6
2020-12-10,45691,9
2020-10-03,29640,10
2020-11-17,42386,7
2020-11-26,41040,7
2020-12-10,31143,7
2020-11-17,24543,1
2020-11-21,31040,9
2020-11-08,20238,9
2020-11-15,32359,7
2020-12-12,33758,9
2020-12-07,20005,9
2020-11-01,44330,10
2020-11-09,49604,9
2020-10-07,40516,7
2020-10-28,39616,9
2020-10-12,19144,2
2020-10-15,22343,6
2020-12-10,49476,1
2020-10-27,14157,9
2020-10-30,18209,7
2020-12-15,27285,7
2020-10-25,45149,9
2020-11-16,26294,8
2020-11-10,30267,9
2020-12-25,42947,10
2020-11-21,22279,9
2020-11-06,40040,7
2020-11-17,26027,7
2020-10-03,37249,7
2020-10-17,22137,5
2020-12-27,29278,8
2020-12-27,15168,1
2020-12-04,27843,9
2020-10-11,12599,7
2020-11-25,14944,9
2020-12-02,23129,10
2020-11-05,21244,6
2020-12-03,15163,10
2020-10-25,44415,8
2020-12-30,42431,2
2020-11-12,33918,7
2020-12-23,32844,3
2020-12-16,18437,6
2020-12-25,15182,6
2020-11-17,20534,7
2020-11-16,27496,7
2020-10-29,21654,10
2020-10-30,20603,4
2020-12-02,49686,10
2020-10-29,16392,9
2020-10-16,10895,10
2020-12-24,17698,9
2020-12-20,45555,7
2020-11-03,22183,3
2020-12-24,21676,9
2020-11-19,28155,10
2020-10-22,42952,9
2020-11-03,38005,10
2020-10-26,14453,10
2020-11-30,17557,10
2020-11-12,48699,9
2020-11-21,40232,6
2020-10-09,16921,5
2020-10-02,15437,7
2020-11-01,47970,3
2020-11-10,13098,7
2020-10-14,31100,10
2020-12-11,22586,8
2020-12-07,25064,7
2020-10-02,40060,10
2020-10-24,35759,7
2020-10-22,37730,9
2020-12-10,41772,9
2020-12-22,31239,7
2020-10-13,25546,7
2020-12-26,13445,9
2020-11-25,41574,9
2020-12-01,15895,7
2020-11-19,49485,2
2020-11-06,34190,7
2020-11-01,22683,5
2020-10-02,40972,4
2020-12-19,44444,9
2020-11-04,23716,7
2020-12-18,25591,7
2020-12-08,19917,10
2020-10-17,11131,7
2020-12-21,40308,10
2020-12-26,29021,7
2020-11-14,30650,10
2020-12-24,25490,10
2020-12-10,39870,9
2020-12-10,19997,10
2020-11-29,46854,7
2020-11-01,28881,6
2020-10-27,42754,8
2020-10-14,41410,8
2020-12-25,16001,8
2020-10-12,25182,9
2020-12-27,46406,2
2020-12-27,14422,10
2020-11-17,29856,10
2020-11-30,29865,9
2020-11-01,10295,7
2020-10-17,44202,10
2020-12-29,16356,4
2020-12-03,43349,10
2020-11-29,48434,9
2020-12-15,33111,7
2020-11-28,49305,10
2020-12-12,49123,7
2020-10-01,43482,7
2020-10-26,13294,7
2020-12-13,40575,7
2020-12-04,23326,9
2020-11-17,12503,6
2020-10-16,40650,7
2020-10-27,32736,7
2020-12-25,20914,7
2020-11-07,26773,10
2020-11-29,35848,7
2020-11-01,37223,9
2020-10-01,12784,6
2020-11-30,48368,10
2020-10-20,47418,6
2020-11-11,34693,7
2020-12-18,16226,6
2020-12-17,19160,1
2020-11-04,30212,7
2020-11-20,30371,9
2020-12-18,33999,10
2020-10-20,10932,8
2020-10-22,31732,7
2020-12-10,31639,7
2020-12-29,40459,6
2020-11-08,23535,7
2020-11-13,46733,9
2020-11-17,23067,8
2020-10-06,12156,6
2020-12-30,15503,9
2020-10-23,27510,7
2020-12-12,29755,10
2020-12-11,40531,10
2020-10-11,26576,7
2020-11-20,45860,10
2020-12-20,26486,10
2020-10-20,36924,7
2020-11-19,49048,7
2020-11-07,38748,9
2020-12-20,29010,0
2020-10-11,26286,10
2020-12-22,23705,5
2020-12-16,21933,10
2020-10-03,30372,7
2020-10-05,20711,1
2020-12-25,38815,7
2020-10-25,31406,7
2020-12-20,23854,9
2020-12-17,49725,1
2020-12-12,23222,10
2020-12-31,14641,10
2020-12-28,27617,2
2020-10-08,49207,9
2020-12-19,30245,7
2020-12-23,34554,10
2020-10-02,12872,7
2020-11-01,49555,10
2020-11-24,22120,7
2020-12-25,22291,10
2020-12-21,39966,9
2020-12-19,41920,2
