Id,GameID,Username,Bet,CashedOut,Bonus,Profit,BustedAt,PlayDate
14196549,3366002,papai,5,1.2,0,1,8.24,2016-11-20T19:44:19Z
10676217,3343882,znay22,3,NA,NA,NA,1.4,2016-11-14T14:21:50Z
15577107,3374646,rrrrrrrr,4,1.33,3,1.44,3.15,2016-11-23T06:39:15Z
25732127,3429241,sanya1206,10,NA,NA,NA,1.63,2016-12-08T18:13:55Z
17995432,3389174,ADM,50,1.5,1.4,25.7,2.29,2016-11-27T08:14:48Z
14147823,3365723,afrod,2,NA,NA,NA,1.04,2016-11-20T17:50:55Z
10802671,3344556,charles150,1,1.05,4,0.09,1.05,2016-11-14T18:52:58Z
6155532,3323151,antaresgold,8,NA,NA,NA,1.13,2016-11-08T16:57:04Z
15421788,3373736,fluxxy,2000,1.2,0,400,9.14,2016-11-23T00:26:05Z
3387542,3311658,jim4beaver,1000,1.05,0,50,10.09,2016-11-05T10:32:34Z
20408669,3401755,CIP1,6,NA,NA,NA,5.66,2016-11-30T22:47:56Z
11963476,3351578,dim4659,1,NA,NA,NA,2.69,2016-11-16T18:11:17Z
21409140,3406479,vadim777,24,NA,NA,NA,1.11,2016-12-02T07:13:23Z
2000777,3305205,venum1ze,584,NA,NA,NA,1.39,2016-11-03T14:18:07Z
21711361,3407867,runitrightnow,15,15,1.53,210.23,52.22,2016-12-02T16:48:51Z
11811238,3350751,Cheepot10,15,1.05,0,0.75,2,2016-11-16T12:28:36Z
5025134,3318575,paulri,1,1.33,0,0.33,1.9,2016-11-07T09:24:24Z
16265972,3378712,IsItPossible,2500,1.15,1.72,417.92,4.76,2016-11-24T10:15:52Z
2558604,3307967,Nord,12,1.5,1.75,6.21,1.67,2016-11-04T09:11:19Z
11423213,3348289,fatihakif,10,NA,NA,NA,2.67,2016-11-15T19:50:04Z
6753767,3325637,elena98hp1,2,1.25,0,0.5,4.11,2016-11-09T10:01:54Z
2387037,3307142,SHOLLEXHFF,2,NA,NA,NA,1.24,2016-11-04T03:18:03Z
25671554,3428895,Marat7777,660,NA,NA,NA,1.36,2016-12-08T15:47:19Z
25646985,3428754,putakabusta,500,NA,NA,NA,1.43,2016-12-08T14:49:57Z
16598171,3380523,MommiesStrats,21,NA,NA,NA,4.07,2016-11-24T22:38:07Z
2336159,3306862,benjovis,13,1.04,0,0.52,3.03,2016-11-04T01:20:30Z
294085,3296313,Amiri220,4,NA,NA,NA,1.82,2016-11-01T01:45:30Z
14011839,3364936,1225,100,1.11,0,11,46.11,2016-11-20T12:37:06Z
18691202,3393331,Ackaron,6,NA,NA,NA,1.11,2016-11-28T12:26:17Z
1152592,3300872,Amiri220,5,2,1.2,5.06,2.28,2016-11-02T08:37:46Z
4588286,3316569,aexxi2009,100,1.5,0,50,2.32,2016-11-06T19:59:40Z
25649054,3428765,user74,1500,1.1,0,150,2.3,2016-12-08T14:53:29Z
22107375,3410047,assefmonkey,177,1.37,0,65.49,6.7,2016-12-03T07:44:19Z
4723318,3317154,Noventa,38,1.05,0,1.9,5.11,2016-11-07T00:05:46Z
25800064,3429618,zmarat,10,1.04,0,0.4,1.22,2016-12-08T20:53:36Z
1091219,3300539,NEONDOUGH,99675,1.01,2.48,3463.91,1.33,2016-11-02T06:15:33Z
26420365,3433463,ksenaSS_04,90,NA,NA,NA,4.84,2016-12-09T22:53:44Z
5831288,3321908,art14,16,1.33,0,5.28,1.82,2016-11-08T08:27:41Z
15965395,3376792,andbig,18,2,2.61,18.47,3.33,2016-11-23T21:16:57Z
14518130,3368214,riverbed,1,1.1,2,0.12,2.79,2016-11-21T10:44:27Z
24930180,3424502,drusha2006,4,1.08,0,0.32,1.7,2016-12-07T10:20:03Z
16510266,3380034,Luxo,16,NA,NA,NA,1.01,2016-11-24T19:15:07Z
1454687,3302380,hamed22,12,NA,NA,NA,2.13,2016-11-02T18:49:38Z
7044340,3326801,speculyant777,20,NA,NA,NA,1.19,2016-11-09T17:56:04Z
10694197,3343979,nazar,1000,1.1,3.49,134.94,1.13,2016-11-14T14:58:29Z
3311232,3311353,1225,652,2.12,3.8,755.01,4.67,2016-11-05T08:17:20Z
704402,3298391,tatjana270707,5,1.25,0,1.25,1.58,2016-11-01T15:38:00Z
9257481,3336420,cxdw,1,1.95,2,0.97,5.61,2016-11-12T11:32:00Z
25688447,3428993,ghounit,1600,NA,NA,NA,1.74,2016-12-08T16:27:03Z
9850788,3339583,Rabota3,101000,NA,NA,NA,2.4,2016-11-13T09:13:37Z
24283220,3420994,onise222,23,3,4.74,47.09,220.41,2016-12-06T10:44:01Z
20104925,3400417,K4H1LL,5000,NA,NA,NA,2.28,2016-11-30T13:27:53Z
4271442,3315320,joshuabeats,27,1.04,1.74,1.55,1.27,2016-11-06T11:22:11Z
9717177,3338793,Iboneh,208,1.1,0,20.8,2.53,2016-11-13T03:49:30Z
8736939,3333983,victor95pc,1,NA,NA,NA,2.41,2016-11-11T18:59:10Z
2350885,3306941,Thug,1153,1.12,0,138.36,3.15,2016-11-04T01:54:15Z
11475142,3348590,MarkyWorld,280,1.1,0,28,1.62,2016-11-15T21:49:54Z
