year,degrees_celsius
1850,7.74
1851,8.09
1852,7.97
1853,7.93
1854,8.19
1855,8.12
1856,7.9
1857,7.71
1858,8.13
1859,8.2
1860,7.78
1861,7.81
1862,7.49
1863,8.15
1864,7.94
1865,8.13
1866,8.19
1867,8.28
1868,8.09
1869,8.32
1870,8.08
1871,8.05
1872,8.12
1873,8.24
1874,8.38
1875,7.87
1876,7.99
1877,8.49
1878,8.78
1879,8.14
1880,8.06
1881,8.22
1882,8.1
1883,7.95
1884,7.77
1885,7.9
1886,7.9
1887,7.87
1888,8.06
1889,8.29
1890,7.95
1891,8.01
1892,8.05
1893,8.05
1894,8.15
1895,8.15
1896,8.22
1897,8.29
1898,8.19
1899,8.4
1900,8.5
1901,8.52
1902,8.28
1903,8.2
1904,8.08
1905,8.21
1906,8.38
1907,7.93
1908,8.16
1909,8.16
1910,8.21
1911,8.16
1912,8.15
1913,8.29
1914,8.58
1915,8.59
1916,8.23
1917,8.03
1918,8.13
1919,8.37
1920,8.34
1921,8.56
1922,8.4
1923,8.39
1924,8.48
1925,8.51
1926,8.72
1927,8.51
1928,8.62
1929,8.22
1930,8.6
1931,8.69
1932,8.69
1933,8.33
1934,8.63
1935,8.51
1936,8.54
1937,8.68
1938,8.86
1939,8.76
1940,8.77
1941,8.76
1942,8.72
1943,8.74
1944,8.83
1945,8.57
1946,8.67
1947,8.79
1948,8.74
1949,8.58
1950,8.36
1951,8.62
1952,8.64
1953,8.88
1954,8.56
1955,8.62
1956,8.28
1957,8.73
1958,8.78
1959,8.73
1960,8.58
1961,8.8
1962,8.75
1963,8.86
1964,8.41
1965,8.53
1966,8.61
1967,8.7
1968,8.51
1969,8.59
1970,8.71
1971,8.61
1972,8.51
1973,8.95
1974,8.47
1975,8.74
1976,8.35
1977,8.86
1978,8.7
1979,8.74
1980,8.98
1981,9.18
1982,8.65
1983,9.04
1984,8.7
1985,8.66
1986,8.84
1987,9.01
1988,9.21
1989,8.93
1990,9.25
1991,9.19
1992,8.84
1993,8.87
1994,9.04
1995,9.36
1996,9.04
1997,9.21
1998,9.53
1999,9.29
2000,9.2
2001,9.41
2002,9.56
2003,9.52
2004,9.32
2005,9.7
2006,9.52
2007,9.73
2008,9.42
2009,9.49
2010,9.7
2011,9.51
2012,9.5
2013,9.6
2014,9.56
2015,9.82
2016,10.02
