year,first_name,sex,num
1920,Mary,F,70982
1920,Dorothy,F,36643
1920,Helen,F,35097
1920,Margaret,F,27994
1920,Ruth,F,26101
1920,Mildred,F,18059
1920,Virginia,F,17314
1920,Elizabeth,F,15909
1920,Frances,F,15883
1920,Anna,F,14581
1920,Betty,F,14016
1920,Evelyn,F,13838
1920,Marie,F,12743
1920,Doris,F,11892
1920,Alice,F,11596
1920,Florence,F,10732
1920,Irene,F,10072
1920,Lillian,F,10049
1920,Louise,F,9179
1920,Rose,F,9011
1920,Catherine,F,8878
1920,Gladys,F,8819
1920,Martha,F,8709
1920,Marjorie,F,8658
1920,Eleanor,F,8497
1920,Ruby,F,8336
1920,Edna,F,8331
1920,Josephine,F,8093
1920,Lucille,F,7989
1920,Ethel,F,7868
1920,Thelma,F,7814
1920,Edith,F,7773
1920,Jean,F,7714
1920,Hazel,F,7308
1920,Annie,F,7269
1920,Pauline,F,7180
1920,Grace,F,7172
1920,Lois,F,6560
1920,Esther,F,6068
1920,Bernice,F,5928
1920,Beatrice,F,5804
1920,Gertrude,F,5797
1920,Marion,F,5745
1920,Clara,F,5470
1920,Katherine,F,5276
1920,Emma,F,5237
1920,Barbara,F,5106
1920,Jane,F,5055
1920,Ann,F,5041
1920,Sarah,F,5031
1920,John,M,56914
1920,William,M,50148
1920,Robert,M,48678
1920,James,M,47909
1920,Charles,M,28309
1920,George,M,26891
1920,Joseph,M,25590
1920,Edward,M,20096
1920,Frank,M,16430
1920,Richard,M,15010
1920,Thomas,M,14938
1920,Harold,M,13678
1920,Walter,M,13293
1920,Paul,M,12571
1920,Raymond,M,12194
1920,Donald,M,11942
1920,Henry,M,11305
1920,Arthur,M,10236
1920,Albert,M,9997
1920,Jack,M,9599
1920,Harry,M,9406
1920,Ralph,M,8556
1920,Kenneth,M,7840
1920,Howard,M,7465
1920,David,M,7445
1920,Clarence,M,7221
1920,Carl,M,7010
1920,Louis,M,6966
1920,Willie,M,6888
1920,Eugene,M,6866
1920,Earl,M,6532
1920,Roy,M,6355
1920,Fred,M,6298
1920,Francis,M,6241
1920,Joe,M,6071
1920,Lawrence,M,5727
1920,Ernest,M,5566
1920,Leonard,M,5511
1920,Warren,M,5492
1920,Stanley,M,5314
1920,Herbert,M,5249
1920,Alfred,M,5007
1921,Mary,F,73985
1921,Dorothy,F,39087
1921,Helen,F,34822
1921,Margaret,F,28468
1921,Ruth,F,25784
1921,Virginia,F,19032
1921,Mildred,F,17881
1921,Betty,F,17638
1921,Frances,F,15993
1921,Elizabeth,F,15801
1921,Anna,F,14477
1921,Evelyn,F,14278
1921,Doris,F,13152
1921,Marie,F,12501
1921,Alice,F,11955
1921,Marjorie,F,11209
1921,Florence,F,10719
1921,Irene,F,10624
1921,Lillian,F,9770
1921,Rose,F,9352
1921,Martha,F,9264
1921,Louise,F,9180
1921,Catherine,F,8887
1921,Gladys,F,8814
1921,Jean,F,8593
1921,Ruby,F,8333
1921,Edna,F,8302
1921,Josephine,F,8134
1921,Eleanor,F,8054
1921,Thelma,F,7839
1921,Lucille,F,7698
1921,Ethel,F,7603
1921,Edith,F,7589
1921,Hazel,F,7341
1921,Grace,F,7230
1921,Annie,F,7209
1921,Pauline,F,7142
1921,Lois,F,6899
1921,Bernice,F,6190
1921,Barbara,F,6013
1921,Beatrice,F,5968
1921,Esther,F,5926
1921,Marion,F,5814
1921,Shirley,F,5694
1921,Clara,F,5606
1921,Gertrude,F,5350
1921,Jane,F,5187
1921,Rita,F,5157
1921,Katherine,F,5156
1921,June,F,5155
1921,Norma,F,5101
1921,Emma,F,5073
1921,Ann,F,5058
1921,Sarah,F,5024
1921,John,M,58215
1921,Robert,M,52784
1921,William,M,51862
1921,James,M,49749
1921,Charles,M,29243
1921,George,M,27476
1921,Joseph,M,26182
1921,Edward,M,20818
1921,Frank,M,16707
1921,Richard,M,16376
1921,Thomas,M,15307
1921,Harold,M,13811
1921,Donald,M,13776
1921,Paul,M,13168
1921,Walter,M,13004
1921,Raymond,M,12646
1921,Henry,M,11411
1921,Jack,M,10756
1921,Arthur,M,10527
1921,Albert,M,10158
1921,Harry,M,9731
1921,Kenneth,M,8960
1921,Ralph,M,8860
1921,Warren,M,7798
1921,David,M,7766
1921,Eugene,M,7718
1921,Howard,M,7713
1921,Clarence,M,7332
1921,Louis,M,7247
1921,Carl,M,7077
1921,Earl,M,6754
1921,Roy,M,6545
1921,Fred,M,6495
1921,Willie,M,6490
1921,Francis,M,6293
1921,Joe,M,6204
1921,Lawrence,M,5977
1921,Ernest,M,5697
1921,Leonard,M,5651
1921,Anthony,M,5239
1921,Stanley,M,5232
1921,Herbert,M,5217
1922,Mary,F,72176
1922,Dorothy,F,37715
1922,Helen,F,32509
1922,Margaret,F,26863
1922,Ruth,F,23631
1922,Betty,F,20895
1922,Virginia,F,19146
1922,Mildred,F,16412
1922,Elizabeth,F,15243
1922,Frances,F,15053
1922,Doris,F,13798
1922,Anna,F,13408
1922,Evelyn,F,13318
1922,Marie,F,11912
1922,Alice,F,11277
1922,Marjorie,F,10385
1922,Irene,F,10173
1922,Florence,F,10035
1922,Lillian,F,9429
1922,Jean,F,9109
1922,Martha,F,9021
1922,Louise,F,8886
1922,Rose,F,8790
1922,Catherine,F,8537
1922,Gladys,F,8042
1922,Ruby,F,8003
1922,Josephine,F,7865
1922,Eleanor,F,7852
1922,Edna,F,7622
1922,Annie,F,7476
1922,Thelma,F,7254
1922,Ethel,F,7245
1922,Lucille,F,7150
1922,Edith,F,7136
1922,Lois,F,6946
1922,Pauline,F,6811
1922,Hazel,F,6758
1922,Grace,F,6743
1922,Shirley,F,6408
1922,Barbara,F,6272
1922,Bernice,F,5912
1922,Marion,F,5667
1922,Beatrice,F,5476
1922,Esther,F,5474
1922,June,F,5382
1922,Norma,F,5238
1922,Clara,F,5126
1922,Gertrude,F,5082
1922,Ann,F,5054
1922,Emma,F,5013
1922,John,M,57280
1922,Robert,M,53793
1922,William,M,51112
1922,James,M,49802
1922,Charles,M,28841
1922,George,M,27350
1922,Joseph,M,25698
1922,Edward,M,20419
1922,Richard,M,17537
1922,Frank,M,16013
1922,Thomas,M,15263
1922,Donald,M,14914
1922,Harold,M,13593
1922,Paul,M,12924
1922,Walter,M,12632
1922,Raymond,M,12128
1922,Henry,M,11207
1922,Jack,M,10847
1922,Arthur,M,10115
1922,Albert,M,9896
1922,Kenneth,M,9257
1922,Harry,M,9078
1922,Ralph,M,8484
1922,David,M,7866
1922,Eugene,M,7849
1922,Howard,M,7296
1922,Louis,M,7095
1922,Willie,M,6904
1922,Clarence,M,6861
1922,Carl,M,6691
1922,Earl,M,6461
1922,Roy,M,6458
1922,Fred,M,6245
1922,Francis,M,6148
1922,Joe,M,6089
1922,Lawrence,M,5786
1922,Ernest,M,5503
1922,Leonard,M,5407
1922,Anthony,M,5092
1922,Herbert,M,5047
1922,Stanley,M,5045
1923,Mary,F,71635
1923,Dorothy,F,39043
1923,Helen,F,31487
1923,Margaret,F,26133
1923,Betty,F,25991
1923,Ruth,F,23638
1923,Virginia,F,18326
1923,Mildred,F,15990
1923,Elizabeth,F,15461
1923,Frances,F,14880
1923,Doris,F,14610
1923,Evelyn,F,13175
1923,Anna,F,12864
1923,Marie,F,11512
1923,Alice,F,11331
1923,Marjorie,F,10220
1923,Irene,F,10053
1923,Florence,F,9746
1923,Jean,F,9511
1923,Lillian,F,9328
1923,Martha,F,8962
1923,Louise,F,8882
1923,Rose,F,8440
1923,Catherine,F,8438
1923,Ruby,F,8232
1923,Shirley,F,7918
1923,Lois,F,7814
1923,Eleanor,F,7772
1923,Gladys,F,7695
1923,Josephine,F,7559
1923,Thelma,F,7379
1923,Edna,F,7299
1923,Barbara,F,7209
1923,Annie,F,7095
1923,Lucille,F,6914
1923,Edith,F,6835
1923,Pauline,F,6707
1923,Ethel,F,6541
1923,Grace,F,6316
1923,Hazel,F,6245
1923,Norma,F,5885
1923,June,F,5810
1923,Bernice,F,5808
1923,Marion,F,5711
1923,Phyllis,F,5476
1923,Beatrice,F,5464
1923,Esther,F,5315
1923,Gloria,F,5310
1923,Clara,F,5134
1923,Rita,F,5095
1923,Juanita,F,5048
1923,Ann,F,5022
1923,John,M,57469
1923,Robert,M,56115
1923,William,M,52137
1923,James,M,50464
1923,Charles,M,28962
1923,George,M,27023
1923,Joseph,M,25562
1923,Edward,M,20597
1923,Richard,M,18886
1923,Donald,M,16433
1923,Frank,M,15905
1923,Thomas,M,15884
1923,Harold,M,13875
1923,Paul,M,13362
1923,Raymond,M,12462
1923,Walter,M,12432
1923,Jack,M,11191
1923,Henry,M,11067
1923,Arthur,M,9923
1923,Albert,M,9825
1923,Kenneth,M,9734
1923,Harry,M,9262
1923,Ralph,M,8630
1923,David,M,8230
1923,Eugene,M,7947
1923,Howard,M,7158
1923,Louis,M,7076
1923,Carl,M,6871
1923,Clarence,M,6801
1923,Willie,M,6664
1923,Earl,M,6339
1923,Roy,M,6317
1923,Fred,M,6314
1923,Francis,M,6087
1923,Joe,M,6004
1923,Lawrence,M,5913
1923,Leonard,M,5486
1923,Ernest,M,5372
1923,Anthony,M,5120
1923,Herbert,M,5072
1923,Stanley,M,5035
1923,Alfred,M,5005
1924,Mary,F,73536
