product_id,brand
AH2430,
G27341,Adidas
CM0081,Adidas
B44832,Adidas
D98205,Adidas
B75586,Adidas
CG4051,Adidas
CM0080,Adidas
B75990,Adidas
EE5761,Adidas
EE4553,Adidas
EF9315,Adidas
F35281,Adidas
EF9220,Adidas
EG0000,Adidas
B44889,Adidas
CL7417,Adidas
CL7408,Adidas
B43601,Adidas
EE8245,Adidas
EE8042,Adidas
CL7429,Adidas
CL7370,Adidas
EE9946,Adidas
CK9741,Adidas
CL7363,Adidas
CL7372,Adidas
CL7430,Adidas
F34485,Adidas
CL7365,Adidas
CL7373,Adidas
CL7364,Adidas
CL7374,Adidas
EE8167,Adidas
CL7410,Adidas
CL7401,Adidas
EE8219,Adidas
CL7402,Adidas
EE9929,Adidas
EE8221,Adidas
EE8224,Adidas
EE9941,Adidas
EE8522,Adidas
EE9932,Adidas
EE8375,Adidas
EE9798,Adidas
EE8502,Adidas
EF0450,Adidas
CL7375,Adidas
EF0446,Adidas
EF0529,Adidas
EE9940,Adidas
EE4954,Adidas
G27996,
CL4156,Adidas
EE4893,Adidas
EE9937,Adidas
G27649,Adidas
EE9797,Adidas
CI9914,Adidas
EE8252,Adidas
CK9664,Adidas
EE8501,Adidas
CL7602,Adidas
CL7494,Adidas
EE7923,Adidas
EE5566,Adidas
CI1821,Adidas
CJ0082,Adidas
CJ8062,Adidas
EE6038,Adidas
CM0068,Adidas
CK9830,Adidas
CJ0080,Adidas
EG4957,Adidas
BD7438,Adidas
B75579,Adidas
CM0057,Adidas
CL0206,Adidas
CJ8058,Adidas
BZ0086,Adidas
CJ8117,Adidas
CJ8073,Adidas
CL7551,Adidas
AC8122,Adidas
CM8453,Adidas
EE3625,Adidas
CM0031,Adidas
EE7697,Adidas
F36159,Adidas
F35028,Adidas
AC7042,Adidas
CJ8053,Adidas
BC0836,Adidas
F35275,Adidas
CJ8115,Adidas
CJ8089,Adidas
EE6128,Adidas
CJ8118,Adidas
CL7328,Adidas
CL7470,Adidas
CL7541,Adidas
CL9928,Adidas
CM0045,Adidas
CL7599,Adidas
CM0069,Adidas
CL7511,
CL7552,Adidas
EE9816,Adidas
CL7545,Adidas
EE5060,Adidas
F36718,Adidas
CL9927,Adidas
CL7285,Adidas
CL7471,Adidas
B96360,Adidas
EE5778,Adidas
EE4519,Adidas
EE4504,Adidas
EE4697,Adidas
CM0044,Adidas
EE6045,Adidas
CG6091,Adidas
G27834,Adidas
CL7598,Adidas
EE4709,Adidas
EE4948,Adidas
EE9671,Adidas
EE7046,Adidas
EF0451,Adidas
