product_id,listing_price,sale_price,discount,revenue
AH2430,,,,
G27341,75.99,37.99,0.5,1641.17
CM0081,9.99,5.99,0.4,398.93
B44832,69.99,34.99,0.5,2204.37
D98205,79.99,39.99,0.5,5182.7
B75586,47.99,19.2,0.6,1555.2
CG4051,47.99,23.99,0.5,86.36
CM0080,9.99,5.99,0.4,75.47
B75990,55.99,27.99,0.5,806.11
EE5761,65.99,39.59,0.4,2779.22
EE4553,75.99,45.59,0.4,2954.23
EF9315,65.99,39.59,0.4,2494.17
F35281,59.99,29.99,0.5,5236.25
EF9220,75.99,45.59,0.4,5087.84
EG0000,79.99,39.99,0.5,1151.71
B44889,59.99,29.99,0.5,3724.76
CL7417,45.99,22.99,0.5,662.11
CL7408,39.99,19.99,0.5,287.86
B43601,32.99,16.49,0.5,1840.28
EE8245,42.99,21.49,0.5,2591.69
EE8042,55.99,27.99,0.5,1511.46
CL7429,42.99,21.49,0.5,1663.33
CL7370,37.99,22.79,0.4,533.29
EE9946,65.99,32.99,0.5,4809.94
CK9741,37.99,18.99,0.5,2392.74
CL7363,32.99,19.79,0.4,1638.61
CL7372,37.99,22.79,0.4,2584.39
CL7430,42.99,21.49,0.5,3674.79
F34485,55.99,33.59,0.4,906.93
CL7365,32.99,19.79,0.4,1211.15
CL7373,32.99,19.79,0.4,3063.49
CL7364,32.99,19.79,0.4,106.87
CL7374,32.99,19.79,0.4,2386.67
EE8167,55.99,33.59,0.4,302.31
CL7410,39.99,23.99,0.4,3670.47
CL7401,55.99,33.59,0.4,241.85
EE8219,45.99,27.59,0.4,1738.17
CL7402,55.99,33.59,0.4,786.01
EE9929,85.99,51.59,0.4,1857.24
EE8221,65.99,39.59,0.4,2921.74
EE8224,65.99,39.59,0.4,5130.86
EE9941,65.99,39.59,0.4,2280.38
EE8522,75.99,45.59,0.4,6893.21
EE9932,55.99,33.59,0.4,4534.65
EE8375,69.99,41.99,0.4,302.33
EE9798,55.99,33.59,0.4,2902.18
EE8502,49.99,29.99,0.4,647.78
EF0450,49.99,29.99,0.4,4480.51
CL7375,32.99,19.79,0.4,391.84
EF0446,49.99,29.99,0.4,2267.24
EF0529,69.99,41.99,0.4,5215.16
EE9940,65.99,39.59,0.4,2351.65
EE4954,119.99,71.99,0.4,4535.37
G27996,,,,
CL4156,26.99,13.49,0.5,2161.1
EE4893,79.99,47.99,0.4,4059.95
EE9937,55.99,33.59,0.4,5683.43
G27649,79.99,47.99,0.4,3023.37
EE9797,55.99,33.59,0.4,2358.02
CI9914,49.99,20.0,0.6,3528.0
EE8252,42.99,21.49,0.5,232.09
CK9664,59.99,29.99,0.5,917.69
EE8501,49.99,29.99,0.4,4156.61
CL7602,47.99,23.99,0.5,734.09
CL7494,45.99,22.99,0.5,1158.7
EE7923,59.99,35.99,0.4,5700.82
EE5566,79.99,47.99,0.4,1986.79
CI1821,47.99,23.99,0.5,345.46
CJ0082,45.99,22.99,0.5,2648.45
CJ8062,59.99,29.99,0.5,2807.06
EE6038,75.99,45.59,0.4,5744.34
CM0068,12.99,7.79,0.4,827.3
CK9830,27.99,13.99,0.5,352.55
CJ0080,45.99,22.99,0.5,82.76
EG4957,79.99,79.99,0.0,5471.32
BD7438,79.99,39.99,0.5,6118.47
B75579,49.99,24.99,0.5,269.89
CM0057,12.99,7.79,0.4,645.01
CL0206,14.99,7.49,0.5,121.34
CJ8058,59.99,29.99,0.5,4696.43
BZ0086,79.99,39.99,0.5,2015.5
CJ8117,45.99,22.99,0.5,3600.23
CJ8073,55.99,27.99,0.5,3325.21
CL7551,47.99,23.99,0.5,2331.83
AC8122,79.99,39.99,0.5,4750.81
CM8453,199.99,99.99,0.5,179.98
EE3625,159.99,79.99,0.5,13534.31
CM0031,45.99,22.99,0.5,2027.72
EE7697,49.99,24.99,0.5,269.89
F36159,52.99,26.49,0.5,4720.52
F35028,19.99,9.99,0.5,1204.79
AC7042,99.99,49.99,0.5,4409.12
CJ8053,59.99,29.99,0.5,2267.24
