product_id,rating,reviews
AH2430,,
G27341,3.3,24.0
CM0081,2.6,37.0
B44832,4.1,35.0
D98205,3.5,72.0
B75586,1.0,45.0
CG4051,4.4,2.0
CM0080,2.8,7.0
B75990,4.5,16.0
EE5761,4.0,39.0
EE4553,2.7,36.0
EF9315,4.2,35.0
F35281,2.6,97.0
EF9220,3.1,62.0
EG0000,3.2,16.0
B44889,3.1,69.0
CL7417,1.0,16.0
CL7408,3.1,8.0
B43601,2.7,62.0
EE8245,3.8,67.0
EE8042,5.0,30.0
CL7429,3.7,43.0
CL7370,3.9,13.0
EE9946,4.4,81.0
CK9741,3.6,70.0
CL7363,2.7,46.0
CL7372,3.2,63.0
CL7430,4.9,95.0
F34485,5.0,15.0
CL7365,3.6,34.0
CL7373,2.2,86.0
CL7364,3.9,3.0
CL7374,3.4,67.0
EE8167,3.3,5.0
CL7410,4.8,85.0
CL7401,3.6,4.0
EE8219,4.1,35.0
CL7402,3.6,13.0
EE9929,2.5,20.0
EE8221,2.7,41.0
EE8224,2.5,72.0
EE9941,1.5,32.0
EE8522,2.6,84.0
EE9932,5.0,75.0
EE8375,4.5,4.0
EE9798,3.9,48.0
EE8502,3.2,12.0
EF0450,3.9,83.0
CL7375,2.0,11.0
EF0446,1.0,42.0
EF0529,3.3,69.0
EE9940,4.1,33.0
EE4954,4.4,35.0
G27996,,
CL4156,3.5,89.0
EE4893,4.0,47.0
EE9937,4.8,94.0
G27649,4.5,35.0
EE9797,4.7,39.0
CI9914,3.8,98.0
EE8252,1.5,6.0
CK9664,0.0,17.0
EE8501,4.8,77.0
CL7602,4.4,17.0
CL7494,3.0,28.0
EE7923,3.9,88.0
EE5566,4.0,23.0
CI1821,4.3,8.0
CJ0082,4.3,64.0
CJ8062,3.7,52.0
EE6038,4.3,70.0
CM0068,1.5,59.0
CK9830,2.8,14.0
CJ0080,5.0,2.0
EG4957,4.9,38.0
BD7438,4.0,85.0
B75579,4.3,6.0
CM0057,2.2,46.0
CL0206,3.7,9.0
CJ8058,2.7,87.0
BZ0086,2.0,28.0
CJ8117,4.0,87.0
CJ8073,2.5,66.0
CL7551,5.0,54.0
AC8122,4.2,66.0
CM8453,3.5,1.0
EE3625,0.0,94.0
CM0031,0.0,49.0
EE7697,3.5,6.0
F36159,2.4,99.0
F35028,0.0,67.0
AC7042,3.1,49.0
CJ8053,4.4,42.0
BC0836,3.4,90.0
F35275,3.8,88.0
CJ8115,3.0,44.0
CJ8089,3.5,74.0
EE6128,4.3,19.0
CJ8118,2.2,54.0
CL7328,3.5,79.0
CL7470,4.0,5.0
CL7541,3.8,96.0
CL9928,2.4,41.0
CM0045,3.8,8.0
CL7599,4.3,80.0
CM0069,3.0,22.0
CL7511,,
CL7552,4.8,68.0
EE9816,4.4,3.0
CL7545,3.4,46.0
EE5060,3.5,50.0
F36718,3.0,75.0
CL9927,4.3,71.0
CL7285,1.0,48.0
CL7471,3.8,36.0
B96360,4.5,7.0
EE5778,2.6,69.0
EE4519,4.4,71.0
EE4504,2.0,65.0
EE4697,3.8,3.0
CM0044,4.7,74.0
EE6045,2.0,2.0
CG6091,3.7,84.0
G27834,3.6,34.0
CL7598,3.9,54.0
EE4709,2.8,49.0
EE4948,4.9,35.0
EE9671,2.4,48.0
EE7046,4.8,25.0
EF0451,4.6,51.0
EE4561,3.9,12.0
CL7601,3.7,51.0
CL7330,3.8,31.0
CM6625,4.8,41.0
FV3395,4.2,5.0
EF9317,3.7,78.0
EF4954,2.2,96.0
EE7104,3.9,26.0
FV4070,3.3,53.0
FV3918,4.3,78.0
EE5055,2.0,90.0
CM6626,4.8,96.0
CQ2030,4.7,82.0
EE5292,3.6,69.0
BD8041,2.8,21.0
B37719,2.7,88.0
EE4505,3.7,32.0
CM0072,3.2,20.0
EF0795,2.9,44.0
EE5875,1.5,69.0
EE4947,4.3,66.0
CM6627,3.4,65.0
CQ2039,5.0,56.0
CG6193,1.0,15.0
S82260,3.5,51.0
EE4945,3.4,84.0
EE7155,1.0,57.0
B44846,3.2,43.0
EE6044,4.0,83.0
EH0192,,
EE7045,2.5,62.0
CL7646,2.8,49.0
CL7346,2.7,37.0
EE5777,2.8,38.0
AQ1210,2.9,88.0
EF5925,4.3,98.0
EE7032,3.6,93.0
EE7708,4.1,18.0
AQ1119,3.7,23.0
F34311,3.6,59.0
CL7645,4.6,90.0
EE5089,3.7,37.0
CL7565,3.0,47.0
G27727,4.6,46.0
B44697,0.0,85.0
CL7400,4.1,68.0
CL7437,4.4,74.0
CL7563,3.7,1.0
CL7460,2.0,48.0
CL7507,4.8,0.0
CM0061,2.7,14.0
F34308,4.0,69.0
CL7506,4.7,83.0
CL7344,2.0,86.0
EE5318,3.5,90.0
CL7564,4.6,58.0
CL7439,4.8,73.0
CL7345,2.8,11.0
CL7644,4.6,32.0
CL7438,2.7,78.0
CK9843,1.5,47.0
EE8738,4.4,81.0
CL7576,4.0,15.0
CL7482,4.2,98.0
EE6129,4.0,1.0
EG3290,2.9,51.0
CL7467,4.7,57.0
EF1426,3.2,50.0
CL7264,2.7,80.0
CL7472,4.5,75.0
CL7560,3.8,90.0
EE4574,4.0,68.0
CL7445,4.6,15.0
CL7404,3.8,64.0
CL7515,3.3,79.0
EE4763,4.1,70.0
CL7616,1.0,68.0
CL7591,4.4,23.0
CK9831,3.3,70.0
EF2508,4.9,42.0
CL7495,3.8,77.0
EE5592,4.1,52.0
EE5398,,
EE5304,4.5,29.0
EE7242,4.5,93.0
CM0064,2.6,24.0
EE7885,2.2,1.0
CM0049,2.4,83.0
CL7548,3.9,68.0
CK1088,3.5,73.0
CL7263,3.6,50.0
CL7483,5.0,61.0
F34340,2.2,35.0
CL7590,4.4,98.0
CM0030,4.0,49.0
CL7468,1.5,50.0
EE8076,2.9,52.0
CM5955,3.4,91.0
B44870,4.7,51.0
CL7265,2.5,81.0
CL7484,3.7,48.0
CL7537,3.6,98.0
EE8088,4.2,9.0
CL7577,1.5,35.0
CM0058,4.3,78.0
EE7698,1.0,90.0
CM0009,4.8,15.0
EE7884,2.5,2.0
F36922,2.7,78.0
DB3114,1.5,47.0
F36217,4.7,24.0
EE8272,4.6,35.0
CL7538,3.1,73.0
EF0695,3.8,43.0
DB3599,4.4,35.0
CL7321,4.7,53.0
DB2117,4.9,83.0
EE4698,2.8,45.0
B28166,4.3,66.0
DB3259,4.9,75.0
EE5534,2.0,94.0
EF0811,3.3,6.0
CK9723,1.0,65.0
CL7322,4.5,36.0
CG6021,2.8,25.0
CG6188,3.3,8.0
BD7685,3.2,75.0
BD7475,4.3,94.0
EF9226,3.7,57.0
F34668,1.0,77.0
EE8257,3.2,26.0
B37973,4.1,37.0
EE7068,0.0,24.0
EH1363,2.4,6.0
EE5772,1.5,84.0
CG6104,,
EF2437,2.2,25.0
CM0070,5.0,99.0
D96760,3.4,9.0
CM0077,3.5,35.0
CM0091,3.0,25.0
CL7550,1.0,13.0
F36675,4.7,45.0
EF1065,3.4,34.0
EH1361,2.2,13.0
CL0243,5.0,60.0
CG6177,3.9,91.0
FV3288,2.4,33.0
EE4949,2.0,39.0
BB2344,3.9,34.0
EE6080,1.0,67.0
EE6047,3.6,83.0
EF0078,2.2,49.0
EE5565,3.2,64.0
EF4965,4.0,18.0
EE4946,0.0,74.0
B37090,4.2,81.0
F36516,3.5,30.0
DB3112,3.4,64.0
EH1366,4.8,72.0
CG6164,3.3,87.0
EE4959,2.7,43.0
EF2438,3.7,15.0
F35567,2.8,81.0
EE8165,2.9,54.0
EE5846,5.0,15.0
F34846,0.0,17.0
B41663,3.2,30.0
CK9690,3.2,73.0
EE7927,2.2,27.0
CK9688,3.2,43.0
CK9424,3.0,49.0
CK9430,2.6,80.0
CG6228,3.1,65.0
DB3600,2.7,87.0
EE9892,3.5,43.0
CL7461,2.9,58.0
CK9678,1.5,0.0
CK9696,4.1,94.0
CK9695,2.0,52.0
CK9683,4.6,39.0
CK9692,3.8,21.0
EE7919,4.3,87.0
CL7517,2.7,42.0
CK9698,4.7,8.0
CK9418,2.7,74.0
EF0322,2.5,23.0
CK9427,5.0,59.0
EF0437,,
EF0435,2.4,99.0
CJ8090,3.6,28.0
CL7542,2.7,97.0
CL7311,2.5,22.0
EE8028,3.6,15.0
CL7398,4.9,28.0
CL7306,4.1,70.0
CK9697,3.9,43.0
CI9915,3.4,65.0
CK9590,1.0,51.0
CL7458,4.1,89.0
CI9913,3.5,96.0
CL7459,4.3,74.0
CI9991,2.4,58.0
F36996,3.3,2.0
