product_id,last_visited
AH2430,2018-05-19 15:13:00
G27341,2018-11-29 16:16:00
CM0081,2018-02-01 10:27:00
B44832,2018-09-07 20:06:00
D98205,2019-07-18 15:26:00
B75586,2019-01-30 12:09:00
CG4051,2019-03-22 16:36:00
CM0080,2019-03-10 01:46:00
B75990,2018-05-29 08:16:00
EE5761,2019-11-29 17:22:00
EE4553,2018-06-26 23:34:00
EF9315,2019-01-11 09:57:00
F35281,2019-03-06 14:49:00
EF9220,
EG0000,2019-07-14 04:47:00
B44889,
CL7417,2018-01-29 10:02:00
CL7408,2018-05-22 02:28:00
B43601,2019-12-11 20:21:00
EE8245,2018-12-17 04:17:00
EE8042,2019-11-15 13:40:00
CL7429,2020-02-10 13:54:00
CL7370,
EE9946,2019-12-06 00:47:00
CK9741,2019-06-02 17:23:00
CL7363,2018-11-18 02:27:00
CL7372,2018-05-22 14:19:00
CL7430,2019-10-15 17:42:00
F34485,2019-11-06 00:34:00
CL7365,2018-02-14 22:21:00
CL7373,2020-04-10 01:10:00
CL7364,2018-02-22 23:54:00
CL7374,2019-11-11 18:49:00
EE8167,2018-01-11 08:51:00
CL7410,2019-03-05 16:26:00
CL7401,2018-03-14 00:47:00
EE8219,2019-06-07 17:12:00
CL7402,2018-07-26 06:40:00
EE9929,2018-12-07 00:42:00
EE8221,
EE8224,2018-08-26 01:19:00
EE9941,2018-01-17 01:47:00
EE8522,2020-01-05 03:38:00
EE9932,2020-02-15 13:43:00
EE8375,
EE9798,2018-06-27 00:53:00
EE8502,2019-01-16 00:33:00
EF0450,2020-01-08 11:57:00
CL7375,2019-05-10 12:26:00
EF0446,2019-01-24 07:22:00
EF0529,2018-05-17 13:11:00
EE9940,2018-03-29 16:02:00
EE4954,2020-03-19 02:30:00
G27996,2019-08-10 08:32:00
CL4156,2020-04-12 07:09:00
EE4893,2018-06-27 20:38:00
EE9937,2019-11-20 21:23:00
G27649,2018-11-05 18:12:00
EE9797,2020-02-21 04:01:00
CI9914,2018-08-09 05:06:00
EE8252,2018-06-18 19:23:00
CK9664,
EE8501,2018-08-14 19:24:00
CL7602,2019-04-10 22:45:00
CL7494,2020-04-08 00:27:00
EE7923,2018-06-20 18:47:00
EE5566,2019-09-19 14:58:00
CI1821,
CJ0082,2019-05-05 13:56:00
CJ8062,2019-05-18 04:46:00
EE6038,2018-04-16 23:48:00
CM0068,2019-01-18 01:16:00
CK9830,2018-10-10 23:22:00
CJ0080,2019-09-24 18:44:00
EG4957,2020-01-18 08:57:00
BD7438,
B75579,2019-02-01 16:49:00
CM0057,2020-01-15 07:13:00
CL0206,
CJ8058,2019-10-21 15:54:00
BZ0086,2019-07-05 15:23:00
CJ8117,2020-04-08 05:43:00
CJ8073,
CL7551,2018-08-06 16:32:00
AC8122,2019-02-21 12:08:00
CM8453,2018-10-05 13:01:00
EE3625,2018-09-12 13:20:00
CM0031,2018-01-24 11:32:00
EE7697,2019-12-27 02:23:00
F36159,2019-08-05 04:46:00
F35028,2018-12-24 14:02:00
AC7042,
CJ8053,2019-02-02 21:47:00
BC0836,2018-10-02 11:17:00
F35275,
CJ8115,2019-11-07 08:10:00
CJ8089,2019-12-20 05:48:00
EE6128,2019-06-12 17:01:00
CJ8118,2018-07-05 09:01:00
CL7328,2019-02-05 03:46:00
CL7470,2018-10-23 12:53:00
CL7541,2019-10-02 00:32:00
CL9928,2019-01-20 01:59:00
CM0045,2019-03-21 23:29:00
CL7599,2018-09-24 09:44:00
CM0069,2018-05-24 12:24:00
CL7511,2020-01-03 01:36:00
CL7552,2019-12-22 22:19:00
EE9816,2019-09-23 05:52:00
CL7545,2019-10-17 14:28:00
EE5060,2018-07-25 21:27:00
F36718,2018-11-28 15:15:00
CL9927,2020-02-19 00:40:00
CL7285,
CL7471,2020-01-14 16:44:00
B96360,2019-01-02 15:17:00
EE5778,2018-05-07 12:14:00
EE4519,2019-01-24 00:47:00
EE4504,2018-10-13 23:47:00
EE4697,2020-01-26 17:05:00
CM0044,2018-08-19 08:41:00
EE6045,2018-12-06 14:10:00
CG6091,2018-04-26 03:41:00
G27834,2020-02-19 08:34:00
CL7598,2018-07-19 03:30:00
EE4709,2018-05-21 02:46:00
EE4948,2019-06-04 23:22:00
EE9671,2018-04-18 04:46:00
EE7046,2019-01-18 01:16:00
EF0451,2018-12-22 00:09:00
EE4561,2019-09-04 10:15:00
CL7601,
CL7330,2018-08-17 23:46:00
CM6625,2018-04-26 12:54:00
FV3395,
EF9317,
EF4954,2018-07-29 08:24:00
EE7104,
FV4070,2019-10-21 19:51:00
FV3918,2019-10-28 07:13:00
EE5055,2018-10-15 08:42:00
CM6626,2018-08-28 13:53:00
CQ2030,2018-01-22 08:11:00
EE5292,2018-02-28 11:34:00
BD8041,2019-06-01 00:34:00
B37719,2018-12-12 12:22:00
EE4505,2018-12-03 12:26:00
CM0072,2019-01-10 12:53:00
EF0795,2018-02-10 18:17:00
EE5875,2020-02-10 06:00:00
EE4947,2019-10-09 10:17:00
CM6627,2019-03-10 04:24:00
CQ2039,2018-04-07 22:33:00
CG6193,2018-02-07 19:11:00
S82260,2019-12-31 07:46:00
EE4945,2018-02-20 23:11:00
EE7155,2019-01-30 14:47:00
B44846,2019-10-13 07:46:00
EE6044,2018-07-02 20:27:00
EH0192,2019-12-31 18:18:00
EE7045,2019-10-27 12:47:00
CL7646,2018-05-18 10:15:00
CL7346,2020-03-06 18:15:00
EE5777,2019-12-09 09:06:00
AQ1210,2019-08-16 02:47:00
EF5925,2020-02-03 04:09:00
EE7032,2019-07-01 20:32:00
EE7708,2018-09-16 05:33:00
AQ1119,
F34311,2019-06-08 23:29:00
CL7645,2018-09-07 04:18:00
EE5089,2019-05-05 02:05:00
CL7565,2020-02-13 23:32:00
G27727,2018-11-16 10:57:00
B44697,2018-10-27 01:09:00
CL7400,2019-12-09 06:28:00
CL7437,2018-10-18 15:42:00
CL7563,2018-10-24 09:57:00
CL7460,2018-06-13 07:43:00
CL7507,2019-06-19 21:30:00
CM0061,2018-07-24 20:26:00
F34308,2018-07-06 11:21:00
CL7506,2019-04-06 05:31:00
CL7344,2018-10-20 08:31:00
EE5318,2018-01-02 12:52:00
CL7564,2018-04-29 18:35:00
CL7439,2020-03-27 10:38:00
CL7345,2018-07-16 20:12:00
CL7644,2019-09-29 01:26:00
CL7438,2019-12-12 21:22:00
CK9843,2019-02-06 04:47:00
EE8738,2019-07-31 06:16:00
CL7576,2018-12-26 13:26:00
CL7482,2018-08-30 23:49:00
EE6129,2019-12-06 04:44:00
EG3290,2019-03-19 04:20:00
CL7467,2019-02-22 05:15:00
EF1426,2019-04-05 11:05:00
CL7264,
CL7472,2019-01-22 19:49:00
CL7560,2019-03-04 06:12:00
EE4574,2018-03-17 06:28:00
CL7445,2019-05-30 06:26:00
CL7404,2020-01-14 06:12:00
CL7515,
EE4763,2019-02-07 00:32:00
CL7616,2019-08-17 16:58:00
CL7591,2018-08-03 02:57:00
CK9831,2020-03-21 17:42:00
EF2508,2019-12-20 13:42:00
CL7495,2019-10-26 23:37:00
EE5592,2019-03-26 12:46:00
EE5398,2019-05-09 14:03:00
EE5304,2019-05-27 17:52:00
EE7242,2018-11-24 07:14:00
CM0064,2018-06-03 23:53:00
EE7885,2019-10-24 17:38:00
CM0049,2018-03-17 15:41:00
CL7548,2019-06-01 03:12:00
CK1088,2018-04-27 07:20:00
CL7263,2020-03-09 01:33:00
CL7483,2020-03-24 06:16:00
F34340,2018-04-12 03:56:00
CL7590,2019-03-19 06:58:00
CM0030,2018-03-24 00:25:00
CL7468,2018-09-13 07:46:00
EE8076,2020-03-16 23:09:00
CM5955,2019-07-03 12:02:00
B44870,2020-02-15 18:59:00
CL7265,2019-01-20 13:50:00
CL7484,2019-11-24 17:33:00
CL7537,2019-01-27 23:35:00
EE8088,2019-01-10 15:31:00
CL7577,
CM0058,2019-08-23 03:19:00
EE7698,2020-03-08 18:58:00
CM0009,2019-08-26 06:22:00
EE7884,2020-01-07 12:15:00
F36922,2018-09-11 08:22:00
DB3114,2019-02-24 03:20:00
F36217,2020-02-05 16:43:00
EE8272,2019-06-18 03:22:00
CL7538,2018-07-04 02:44:00
EF0695,2019-10-13 03:49:00
DB3599,2018-11-18 03:46:00
CL7321,2019-05-28 22:50:00
DB2117,2018-03-23 09:56:00
EE4698,2019-12-18 20:53:00
B28166,2018-04-05 08:40:00
DB3259,2020-02-24 22:52:00
EE5534,2019-09-18 06:03:00
EF0811,2018-05-23 02:10:00
CK9723,2019-09-06 04:23:00
CL7322,2019-02-09 18:22:00
CG6021,2018-01-21 07:10:00
CG6188,2018-06-29 22:40:00
BD7685,2018-02-09 06:44:00
BD7475,2018-08-23 16:42:00
EF9226,2019-07-31 19:26:00
F34668,2018-11-26 23:45:00
EE8257,2019-03-07 15:50:00
B37973,2019-04-03 16:57:00
EE7068,2019-09-28 01:44:00
EH1363,2020-01-07 08:18:00
EE5772,2018-08-29 17:32:00
CG6104,2019-11-18 20:40:00
EF2437,2018-12-14 06:30:00
CM0070,2020-03-05 18:33:00
D96760,2019-01-26 22:34:00
CM0077,2019-01-27 07:47:00
CM0091,2019-05-14 23:05:00
CL7550,2019-10-17 10:31:00
F36675,
EF1065,2019-06-07 06:40:00
EH1361,2018-03-23 02:02:00
CL0243,2020-02-21 00:04:00
CG6177,2020-04-01 20:59:00
FV3288,2019-06-17 20:47:00
EE4949,2019-11-27 07:26:00
BB2344,2018-06-22 10:17:00
EE6080,2018-08-04 06:36:00
EE6047,2019-10-28 01:57:00
EF0078,2018-06-19 07:14:00
EE5565,2019-10-11 22:51:00
EF4965,2018-11-08 08:05:00
EE4946,2018-07-15 04:42:00
B37090,2020-02-02 00:30:00
F36516,2018-07-27 15:35:00
DB3112,2018-07-24 05:57:00
EH1366,2020-03-01 22:23:00
CG6164,2019-06-08 09:00:00
EE4959,2018-10-04 02:47:00
EF2438,2018-03-29 02:52:00
F35567,2019-10-09 10:17:00
EE8165,2018-02-01 10:27:00
EE5846,2019-02-11 03:17:00
F34846,2018-09-27 03:34:00
B41663,2019-02-20 12:26:00
CK9690,2018-10-13 10:37:00
EE7927,2020-01-25 12:07:00
CK9688,2019-05-19 21:35:00
CK9424,2018-02-23 17:01:00
CK9430,2018-08-12 23:57:00
CG6228,2019-11-22 10:15:00
DB3600,2018-04-07 14:39:00
EE9892,2018-02-28 15:31:00
CL7461,2019-07-18 12:48:00
CK9678,2018-02-13 00:16:00
CK9696,2019-03-12 06:26:00
CK9695,2020-01-10 07:24:00
CK9683,2019-07-31 01:00:00
CK9692,2018-08-16 10:54:00
EE7919,
CL7517,2019-07-29 16:05:00
CK9698,2019-11-16 05:28:00
CK9418,2020-03-30 18:57:00
EF0322,2019-09-17 14:15:00
CK9427,2018-03-04 14:19:00
EF0437,2018-01-24 04:57:00
EF0435,2019-03-15 17:23:00
CJ8090,2019-07-31 19:26:00
CL7542,2019-02-27 07:42:00
CL7311,2018-08-08 17:15:00
EE8028,2018-03-05 12:42:00
CL7398,
CL7306,2019-01-08 00:19:00
CK9697,2018-09-08 17:10:00
CI9915,2018-04-08 02:30:00
CK9590,2019-08-23 12:32:00
CL7458,2018-10-20 23:00:00
CI9913,
CL7459,2018-02-27 01:20:00
CI9991,2018-09-11 21:32:00
F36996,2018-05-27 15:27:00
