business,year_founded,category_code,country_code
Hamoud Boualem,1878,CAT11,DZA
Communauté Électrique du Bénin,1968,CAT10,BEN
Botswana Meat Commission,1965,CAT1,BWA
Air Burkina,1967,CAT2,BFA
Brarudi,1955,CAT9,BDI
Cameroon Development Corporation,1947,CAT1,CMR
Correios de Cabo Verde,1849,CAT16,CPV
Banque Internationale pour la Centrafrique,1946,CAT3,CAF
Cotontchad,1971,CAT1,TCD
Central Bank of the Comoros,1981,CAT3,COM
Société nationale des Chemins de fer du Congo,1889,CAT2,COD
Development Bank of the Central African States,1975,CAT3,COG
La Poste,1945,CAT16,CIV
Ethio-Djibouti Railways,1901,CAT2,DJI
Egyptian National Railways,1854,CAT2,EGY
Guinea Ecuatorial Airlines,1996,CAT2,GNQ
Asmara Brewery,1939,CAT9,ERI
National Bank of Ethiopia,1906,CAT3,ETH
BGFIBank Group,1971,CAT3,GAB
Halco Mining,1962,CAT15,GIN
Correios da Guiné-Bissau,1973,CAT16,GNB
KCB Group Limited,1896,CAT3,KEN
Central Bank of Lesotho,1978,CAT3,LSO
National Port Authority,1921,CAT2,LBR
Umma Bank,1907,CAT3,LBY
Air Madagascar,1962,CAT2,MDG
Malawi Broadcasting Corporation,1964,CAT13,MWI
Office de Radiodiffusion-Télévision du Mali,1957,CAT13,MLI
Central Bank of Mauritania,1973,CAT3,MRT
Mauritius Post,1772,CAT16,MUS
Attijariwafa Bank,1904,CAT3,MAR
Beira Railroad Corporation,1892,CAT2,MOZ
NamPost,1814,CAT16,NAM
Office of Radio and Television of Niger,1960,CAT13,NER
First Bank of Nigeria,1894,CAT3,NGA
National Post Office,1922,CAT16,RWA
Central Bank of São Tomé and Príncipe,1975,CAT3,STP
Dakar–Niger Railway,1924,CAT2,SEN
Air Seychelles,1977,CAT2,SYC
Rokel Commercial Bank,1917,CAT3,SLE
Radio Mogadishu,1943,CAT13,SOM
Premier FMCG,1820,CAT12,ZAF
Ivory Bank,1994,CAT3,SSD
Bank of Khartoum,1913,CAT3,SDN
Swazi Rail,1963,CAT2,SWZ
Tanzania Breweries Limited,1933,CAT9,TZA
