Name,Critic_Score,User_Score
Wii Sports for Wii,7.7,8.0
Super Mario Bros. for NES,10.0,8.2
Counter-Strike: Global Offensive for PC,8.0,7.5
Mario Kart Wii for Wii,8.2,9.1
PLAYERUNKNOWN'S BATTLEGROUNDS for PC,8.6,4.7
Minecraft for PC,10.0,7.8
Wii Sports Resort for Wii,8.0,8.8
Pokemon Red / Green / Blue Version for GB,9.4,8.8
New Super Mario Bros. for DS,9.1,8.1
New Super Mario Bros. Wii for Wii,8.6,9.2
Tetris for GB,9.4,8.7
Call of Duty: Modern Warfare for PS4,8.0,3.3
Duck Hunt for NES,7.5,8.3
Wii Play for Wii,5.9,6.5
Mario Kart 8 Deluxe for NS,9.3,8.7
Kinect Adventures! for X360,6.7,
Nintendogs for DS,8.4,8.5
Mario Kart DS for DS,9.1,9.4
Pokemon Gold / Silver Version for GB,9.2,8.8
Wii Fit for Wii,7.9,
Wii Fit Plus for Wii,8.0,
Super Mario World for SNES,8.5,9.3
Grand Theft Auto V for PS3,9.4,8.3
Grand Theft Auto V for PS4,9.7,8.4
Brain Age: Train Your Brain in Minutes a Day for DS,8.1,
Super Smash Bros. Ultimate for NS,9.4,9.7
Mario Kart 7 for 3DS,8.2,8.3
Pokemon Diamond / Pearl Version for DS,8.6,
Super Mario Odyssey for NS,9.9,9.0
The Legend of Zelda: Breath of the Wild for NS,9.9,10.0
Pokemon Sword / Shield for NS,8.0,4.6
Grand Theft Auto: San Andreas for PS2,9.5,9.1
Super Mario Bros. 3 for NES,9.8,9.3
Pokemon X/Y for 3DS,8.9,9.7
Uncharted 4: A Thief's End for PS4,9.2,8.4
Pokemon Ruby / Sapphire Version for GBA,8.8,8.6
Pokemon Sun/Moon for 3DS,9.0,7.7
Grand Theft Auto: Vice City for PS2,9.6,8.8
Grand Theft Auto V for X360,10.0,
Pokemon Black / White Version for DS,8.6,9.0
Call of Duty: Black Ops 3 for PS4,8.1,4.9
Counter-Strike: Source for PC,9.3,
Sonic the Hedgehog for GEN,8.6,8.3
Gran Turismo 3: A-Spec for PS2,9.3,8.9
Brain Age 2: More Training in Minutes a Day for DS,8.0,
Call of Duty: Modern Warfare 3 for X360,8.7,
Call of Duty: Black Ops for X360,8.8,
Pokemon Yellow: Special Pikachu Edition for GB,8.7,8.8
Halo 3 for X360,9.6,9.5
Pokemon Omega Ruby/Pokemon Alpha Sapphire for 3DS,8.3,7.4
Terraria for PC,8.8,8.6
Red Dead Redemption 2 for PS4,9.8,7.9
Call of Duty: Black Ops II for X360,9.3,
Call of Duty: Black Ops II for PS3,9.3,
Call of Duty: Modern Warfare 2 for X360,9.5,9.0
Animal Crossing: New Horizons for NS,9.0,5.4
Call of Duty: WWII for PS4,8.0,4.3
Call of Duty: Modern Warfare 3 for PS3,8.8,
New Super Mario Bros. 2 for 3DS,7.5,7.3
Super Smash Bros. Brawl for Wii,9.2,9.7
Marvel's Spider-Man for PS4,9.1,8.7
Grand Theft Auto III for PS2,9.5,
Portal 2 for PC,9.7,9.0
Minecraft for X360,8.5,
Super Mario Galaxy for Wii,9.7,9.6
Pokemon Heart Gold / Soul Silver Version for DS,8.6,
Super Mario 3D Land for 3DS,8.9,8.4
Call of Duty: Black Ops for PS3,8.7,
Grand Theft Auto V for PC,9.6,7.7
Animal Crossing: New Leaf for 3DS,8.6,8.8
The Witcher 3: Wild Hunt for PC,9.3,9.4
Pokemon FireRed / LeafGreen Version for GBA,8.3,
World of Warcraft for PC,9.2,8.0
Half-Life 2 for PC,9.7,
Diablo III for PC,9.0,4.1
"Pokemon: Let's Go, Pikachu/Eevee for NS",8.0,6.2
Gran Turismo 5 for PS3,8.3,
Super Mario 64 for N64,9.7,9.0
FIFA 18 for PS4,8.3,3.4
The Last of Us Remastered for PS4,9.5,9.1
Gran Turismo 4 for PS2,8.7,
Animal Crossing: Wild World for DS,8.5,
Super Mario Land 2: 6 Golden Coins for GB,9.0,8.5
Grand Theft Auto IV for X360,10.0,
Super Mario 64 DS for DS,8.6,
God of War (2018) for PS4,9.7,10.0
StarCraft for PC,8.7,
FIFA 17 for PS4,8.9,4.8
Gran Turismo for PS,9.5,
The Witcher 3: Wild Hunt for PS4,9.2,9.2
Call of Duty: Modern Warfare 2 for PS3,9.5,
Grand Theft Auto IV for PS3,10.0,9.0
Super Mario All-Stars for SNES,9.2,9.5
Call of Duty: Ghosts for X360,6.9,
Just Dance 3 for Wii,7.5,
Call of Duty: Ghosts for PS3,7.5,
Splatoon 2 for NS,8.2,8.5
Super Mario Party for NS,7.3,7.5
Horizon: Zero Dawn for PS4,9.1,8.0
RollerCoaster Tycoon 3 for PC,8.3,
Halo: Reach for X360,9.3,
Portal for PC,9.0,
Halo 4 for X360,9.8,
Final Fantasy VII for PS,9.6,9.5
Mario Kart 64 for N64,8.5,
Super Smash Bros. for 3DS for 3DS,8.4,
Call of Duty 4: Modern Warfare for X360,9.6,9.0
Gran Turismo 2 for PS,9.2,
Wii Party for Wii,7.0,
Call of Duty: Black Ops IIII for PS4,8.3,4.0
Mario Party DS for DS,7.1,
Uncharted 3: Drake's Deception for PS3,9.3,6.3
Donkey Kong Country for SNES,9.0,8.8
Half-Life for PC,9.5,
FIFA 19 for PS4,8.3,1.7
Rust for PC,6.1,6.2
The Elder Scrolls V: Skyrim for X360,9.3,
Mario Party 8 for Wii,6.5,
Pokemon: Ultra Sun and Ultra Moon for 3DS,8.1,
Super Mario Kart for SNES,10.0,
Grand Theft Auto V for XOne,9.0,9.0
Final Fantasy X for PS2,9.0,10.0
Final Fantasy VIII for PS,9.4,
Pokemon Black 2 and White 2 for DS,8.0,8.3
Call of Duty: Infinite Warfare for PS4,7.7,3.8
Fallout 4 for PS4,8.6,6.6
Mario Kart 8 for WiiU,8.8,8.9
Tekken 3 for PS,9.6,
FIFA 16 for PS4,8.5,4.4
The Last of Us for PS3,9.5,
GoldenEye 007 for N64,9.8,
