Name,Platform,Publisher,Developer,Total_Shipped,Year
7 Days to Die for PC,PC,The Fun Pimps,The Fun Pimps,4.18,2013
ARK: Survival Evolved for PC,PC,Studio Wildcard,Studio Wildcard,4.5,2015
Age of Empires II: HD Edition for PC,PC,Microsoft Studios,Hidden Path Entertainment,5.82,2013
Animal Crossing: City Folk for Wii,Wii,Nintendo,Nintendo EAD,4.32,2008
Animal Crossing: New Horizons for NS,NS,Nintendo,Nintendo,13.41,2020
Animal Crossing: New Leaf for 3DS,3DS,Nintendo,Nintendo EAD,12.55,2013
Animal Crossing: Wild World for DS,DS,Nintendo,Nintendo EAD,11.75,2005
Arma 2: Operation Arrowhead for PC,PC,Meridian4,Bohemia Interactive,4.51,2010
Arma III for PC,PC,Bohemia Interactive,Bohemia Interactive,4.0,2013
Assassin's Creed II for PS3,PS3,Ubisoft,Ubisoft Montreal,5.57,2009
Assassin's Creed II for X360,X360,Ubisoft,Ubisoft Montreal,5.3,2009
Assassin's Creed III for PS3,PS3,Ubisoft,Ubisoft Montreal,6.5,2012
Assassin's Creed III for X360,X360,Ubisoft,Ubisoft Montreal,5.31,2012
Assassin's Creed Origins for PS4,PS4,Ubisoft,Ubisoft Montreal,4.06,2017
Assassin's Creed for PS3,PS3,Ubisoft,Ubisoft Montreal,4.83,2007
Assassin's Creed for X360,X360,Ubisoft,Ubisoft Montreal,5.55,2007
Assassin's Creed: Revelations for PS3,PS3,Ubisoft,Ubisoft Montreal,4.23,2011
Assassin's Creed: Revelations for X360,X360,Ubisoft,Ubisoft Montreal,4.22,2011
Assassin's Creed: Unity for PS4,PS4,Ubisoft,Ubisoft Montreal,4.14,2014
Asteroids for 2600,2600,Atari,Atari,4.31,1981
Batman: Arkham Asylum for PS3,PS3,Eidos Interactive,Rocksteady Studios,4.28,2009
Batman: Arkham City for PS3,PS3,Warner Bros. Interactive,Rocksteady Studios,5.54,2011
Batman: Arkham City for X360,X360,Warner Bros. Interactive,Rocksteady Studios,4.75,2011
Batman: Arkham Knight for PS4,PS4,Warner Bros. Interactive,Rocksteady Studios,4.11,2015
Battlefield 1 for PS4,PS4,Electronic Arts,EA DICE,7.26,2016
Battlefield 1 for XOne,XOne,Electronic Arts,EA DICE,5.13,2016
Battlefield 3 for PS3,PS3,Electronic Arts,Dice,7.21,2011
Battlefield 3 for X360,X360,Electronic Arts,Dice,7.35,2011
Big Brain Academy for DS,DS,Nintendo,Nintendo EAD,6.15,2006
BioShock Infinite for PC,PC,2K Games,Irrational Games,4.56,2013
Brain Age 2: More Training in Minutes a Day for DS,DS,Nintendo,Nintendo SDD,14.88,2007
Brain Age: Train Your Brain in Minutes a Day for DS,DS,Nintendo,Nintendo SDD,19.01,2006
Call of Duty 4: Modern Warfare for PS3,PS3,Activision,Infinity Ward,6.72,2007
Call of Duty 4: Modern Warfare for X360,X360,Activision,Infinity Ward,9.41,2007
Call of Duty: Advanced Warfare for PS3,PS3,Activision,High Moon Studios,4.27,2014
Call of Duty: Advanced Warfare for PS4,PS4,Activision,Sledgehammer Games,7.53,2014
Call of Duty: Advanced Warfare for X360,X360,Activision,High Moon Studios,4.34,2014
Call of Duty: Advanced Warfare for XOne,XOne,Activision,Sledgehammer Games,5.22,2014
Call of Duty: Black Ops 3 for PS4,PS4,Activision,Treyarch,15.09,2015
Call of Duty: Black Ops 3 for XOne,XOne,Activision,Treyarch,7.37,2015
Call of Duty: Black Ops II for PS3,PS3,Activision,Treyarch,13.8,2012
Call of Duty: Black Ops II for X360,X360,Activision,Treyarch,13.86,2012
Call of Duty: Black Ops IIII for PS4,PS4,Activision,Treyarch,9.32,2018
Call of Duty: Black Ops IIII for XOne,XOne,Activision,Treyarch,4.85,2018
Call of Duty: Black Ops for PS3,PS3,Activision,Treyarch,12.67,2010
Call of Duty: Black Ops for X360,X360,Activision,Treyarch,14.74,2010
Call of Duty: Ghosts for PS3,PS3,Activision,Infinity Ward,10.13,2013
Call of Duty: Ghosts for PS4,PS4,Activision,Infinity Ward,4.17,2013
Call of Duty: Ghosts for X360,X360,Activision,Infinity Ward,10.41,2013
Call of Duty: Infinite Warfare for PS4,PS4,Activision,Infinity Ward,8.48,2016
Call of Duty: Infinite Warfare for XOne,XOne,Activision,Infinity Ward,4.79,2016
Call of Duty: Modern Warfare 2 for PS3,PS3,Activision,Infinity Ward,10.61,2009
Call of Duty: Modern Warfare 2 for X360,X360,Activision,Infinity Ward,13.53,2009
Call of Duty: Modern Warfare 3 for PS3,PS3,Activision,Infinity Ward,13.35,2011
Call of Duty: Modern Warfare 3 for X360,X360,Activision,Infinity Ward,14.82,2011
Call of Duty: Modern Warfare for PS4,PS4,Activision,Infinity Ward,30.13,2019
Call of Duty: WWII for PS4,PS4,Activision,Sledgehammer Games,13.4,2017
Call of Duty: WWII for XOne,XOne,Activision,Sledgehammer Games,6.23,2017
Call of Duty: World at War for PS3,PS3,Activision,Treyarch,5.43,2008
Call of Duty: World at War for X360,X360,Activision,Treyarch,7.5,2008
Carnival Games for Wii,Wii,Global Star Software,Cat Daddy Games,4.06,2007
Cities: Skylines for PC,PC,Paradox Interactive,Colossal Order,6.0,2015
